==2882== Memcheck, a memory error detector
==2882== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==2882== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==2882== Command: RunCollatz.c++.app
==2882== 
1 1 1
1000000 1000000 153
131149 322412 443
35991 968566 525
86055 933234 525
328115 443148 449
407417 736779 509
357594 743003 509
98747 623482 470
439643 209401 449
256072 261421 345
441711 924800 525
135703 340270 443
94207 365943 443
232208 378410 441
107095 879716 525
274491 819651 509
36647 937771 525
131866 95161 354
434278 915172 525
452406 236980 449
192911 27840 383
133192 378224 443
144485 412982 449
457587 568732 470
380457 587342 470
165246 582412 470
417556 290496 449
241808 179717 443
499425 62094 449
353910 639705 509
251846 394685 441
496493 580630 470
2935 750440 509
176799 71253 383
125301 952443 525
428587 475618 444
460548 170803 449
7071 993411 525
293357 559566 470
211595 390520 443
498262 970892 525
399313 412331 449
223790 997235 525
163418 791799 509
198494 504029 449
179056 491903 449
411359 942723 525
329673 196294 443
104316 530425 470
251928 14943 443
159958 249057 443
25894 396179 443
301730 651736 509
101618 190841 383
465782 241938 449
103219 137063 354
79034 238399 443
356179 165692 443
174413 936844 525
407972 826522 509
124910 891321 525
118561 149215 375
225127 149540 386
9326 346510 443
404787 766204 509
340357 829098 509
74637 434146 449
175616 360692 443
372404 735295 509
3308 395424 443
247683 956262 525
402083 663865 509
480142 485521 413
475893 279158 449
51352 71987 340
3882 52069 324
88480 59986 351
210512 748399 509
435196 948426 525
382460 241393 441
483508 627389 509
421744 714423 509
410480 881243 525
8420 633812 509
144893 932698 525
430073 122583 449
287474 166734 443
365 303053 443
394082 93994 443
175043 231594 443
369386 64442 443
360364 763082 509
412360 963069 525
289684 603572 470
335869 938140 525
194857 643576 509
393148 498956 449
222724 366607 443
58293 935736 525
127752 9091 354
233717 630021 509
180119 1120 383
32588 556185 470
210389 717318 509
272132 719861 509
242634 313799 407
286365 303427 389
89158 336918 443
5410 965210 525
362013 552477 470
132226 37550 354
443172 989935 525
149358 300868 443
176532 991521 525
360625 740023 509
178207 867392 525
215985 534358 470
224454 518919 470
39274 26064 324
349183 394174 436
10905 811639 509
381745 79424 443
130451 911850 525
167322 709070 509
284204 212195 443
415109 408012 449
404844 861663 525
287016 2664 443
408064 761642 509
191627 87891 383
57004 915729 525
124436 436599 449
155284 436193 449
117319 593366 470
440823 585796 470
33147 606171 470
229698 620695 470
70892 106258 354
348410 668205 509
36872 587173 470
53365 405688 443
430494 769935 509
122834 640593 509
466301 569628 470
201783 208458 373
319216 416260 449
24135 464887 449
264559 198620 443
385821 181956 443
174197 182070 365
97550 717871 509
366920 160038 443
430156 680372 509
9679 981234 525
302094 372606 441
335106 433232 449
221387 114936 386
269920 344931 407
381166 641260 509
399372 599621 470
268492 156319 443
287747 365703 441
482848 679403 509
240296 401269 441
279023 405258 441
163158 95225 383
63870 292601 443
121197 307057 443
126126 947667 525
295765 781163 509
281966 817012 509
141646 777727 509
434062 621481 470
456755 308592 449
60016 442306 449
334512 308208 384
150388 39028 375
304196 333416 384
96335 492045 449
179106 84426 383
241345 112372 443
413777 538926 470
330610 910935 525
404364 617122 470
388109 514058 470
282105 464142 449
364279 217216 443
206915 424703 449
233742 614363 470
141701 547333 470
188039 483077 449
135266 19295 354
359053 235664 441
72447 584902 470
225843 512482 470
8920 496249 449
174725 555689 470
136749 389935 443
222975 367917 443
326534 855501 525
391346 443829 449
129221 442671 449
274102 992204 525
384261 221869 443
217716 947720 525
324722 571691 470
281116 454310 449
384254 976922 525
252991 755277 509
443346 49295 449
111447 624327 470
454565 749480 509
246341 984949 525
116428 269734 443
246874 16091 443
351785 248689 441
310826 9453 443
344390 549687 470
96226 24781 351
46660 589339 470
153341 194272 383
335521 104522 443
16357 744284 509
148119 475295 449
335313 968573 525
287236 531437 470
73125 571297 470
336470 527627 470
404350 558824 470
168777 296292 443
404603 219019 443
465584 304989 449
432515 237794 449
152395 604049 470
361193 126757 443
221407 76496 386
22410 947360 525
189377 720853 509
87423 314667 443
415953 635967 509
425636 382456 449
410442 252613 449
3164 36662 324
15077 672120 509
128966 667411 509
469417 759341 509
155470 963650 525
324206 492818 449
449186 959862 525
377993 725999 509
282068 901737 525
286002 272281 389
47029 736714 509
133595 824009 509
236336 661380 509
155428 736956 509
213432 655295 509
338225 862290 525
487907 150548 449
272108 523583 470
25251 252802 443
99061 804081 509
433560 902015 525
387629 791848 509
282618 357234 441
20181 582783 470
327385 615796 470
343319 956158 525
325087 253792 407
447855 131394 449
94669 889369 525
218682 513788 470
447973 192826 449
284350 617762 470
192533 850037 525
488510 496529 426
254534 714125 509
387107 27178 443
174068 578470 470
477213 131773 449
491279 582520 470
15260 886890 525
274459 152681 443
260195 242209 363
124939 402123 443
299908 402206 441
450459 433970 400
42619 325295 443
457136 631195 509
70853 207750 383
229910 453972 449
428884 227831 449
439818 720349 509
397908 761935 509
351911 25932 443
422377 453585 418
98523 989775 525
61054 739821 509
240156 810399 509
20308 633890 509
427736 320888 449
478918 325916 449
358029 796355 509
357946 593668 470
421529 428791 418
385521 790125 509
488110 662833 509
183287 89052 383
89640 178427 383
363192 310807 441
180597 804776 509
174568 795877 509
459664 395072 449
170521 633214 509
6786 313146 443
3670 608590 470
317697 457676 449
20658 622029 470
119285 595960 470
186489 60956 383
43172 165345 383
196826 832583 509
218009 288915 443
198200 551736 470
51696 422815 449
310407 625883 470
190455 539075 470
237777 822471 509
125681 814706 509
471327 923228 525
431060 653993 509
3104 595005 470
326804 999940 525
133936 189475 383
112362 171245 383
57926 516463 470
139998 197882 383
136999 432855 449
486879 598928 470
334037 803260 509
214033 879615 525
89349 42689 351
328531 484012 449
99559 186146 383
109003 205621 383
339125 943244 525
46464 138520 354
216452 409940 443
29967 392483 443
439226 319157 449
451538 17474 449
418718 446641 418
285757 586544 470
489552 638102 509
156372 562006 470
313085 739734 509
108448 16135 354
136632 302289 443
447039 82778 449
358492 629982 509
499827 603198 470
339229 380929 441
240009 699305 509
261383 607630 470
440237 240709 449
497780 860087 525
325997 908682 525
462492 323994 449
70269 906860 525
77858 268611 443
158551 25744 383
496584 659414 509
478093 371510 449
101886 579446 470
276471 559199 470
76862 936907 525
94818 597914 470
329758 785426 509
132828 385436 443
72857 903152 525
448660 318727 449
406038 441147 449
470022 853471 525
373884 911589 525
80554 954833 525
176192 889384 525
398485 144464 443
32654 154854 375
420668 839299 525
250400 701232 509
263922 335367 407
50669 513601 470
461290 245576 449
249115 125695 443
64710 782367 509
30888 348339 443
148948 580992 470
438068 393382 449
470990 250493 449
390312 341619 441
214228 180115 373
376904 74254 443
173548 934716 525
253824 280914 407
493476 22760 449
95039 262909 443
194448 687411 509
408313 263485 441
228869 493649 449
304646 142542 443
103300 333170 443
111952 676252 509
184860 55732 383
278911 670298 509
469619 171222 449
406174 217053 443
418382 967816 525
405673 176036 443
462526 252720 449
307021 324930 384
169604 193471 365
428306 303210 449
353153 457026 449
88736 903298 525
69560 277996 443
70972 724260 509
70373 773938 509
159666 623445 470
59210 503810 449
457440 946020 525
444149 112577 449
65740 752113 509
244741 102663 443
206408 264507 443
243594 605347 470
429496 280783 449
308864 471829 449
377088 406054 436
209332 975246 525
469005 665538 509
473635 962551 525
453895 696807 509
191436 807213 509
272071 790287 509
394026 825621 509
331258 516391 470
208364 314233 443
386063 366700 423
386617 623598 470
142724 612897 470
436648 452234 400
411148 381136 449
39334 965180 525
278362 232762 407
182800 761854 509
224724 795196 509
342074 239393 407
288062 588693 470
257128 152422 443
439189 378579 449
216818 611844 470
21538 569166 470
346358 809142 509
131565 331338 443
495628 385816 449
228258 988345 525
81776 519055 470
100473 939128 525
222698 138127 386
155073 653877 509
39912 91046 351
32938 64416 340
430426 265419 449
29157 943613 525
419654 576692 470
4717 599845 470
465433 87142 449
345945 890054 525
232027 847773 525
389299 681792 509
177920 923072 525
452198 732558 509
111214 214485 383
115295 970947 525
222065 871097 525
31391 356625 443
149962 122669 375
387202 796765 509
246515 282214 407
272109 320214 389
5847 67226 340
411595 692930 509
323162 920325 525
456374 782612 509
339235 134208 443
299807 789475 509
466886 435365 444
372516 161970 443
278922 576676 470
438940 966172 525
71274 874563 525
52616 590799 470
372502 615287 470
223611 285447 443
277776 52045 443
219766 582520 470
355919 273963 441
227785 500639 449
312175 547488 470
470412 504892 426
57369 851677 525
405353 184851 443
434249 886785 525
86639 573131 470
229365 294961 443
114745 44030 354
434373 711801 509
113677 323921 443
158149 318142 443
458905 327578 449
302929 555760 470
122245 231983 443
319038 753187 509
238461 159159 443
189216 382948 443
379041 185199 443
165397 460242 449
491245 100173 449
324300 44049 443
332004 743623 509
180415 294061 443
79086 31139 351
336143 96576 443
1053 311961 443
291642 556157 470
435628 747151 509
292606 843185 525
250311 492919 449
187088 132983 383
465968 544172 470
93921 860765 525
125841 819762 509
172695 740648 509
271432 528486 470
292306 66305 443
9086 328373 443
381694 865791 525
131257 471671 449
62654 866604 525
159107 439015 449
238008 818744 509
352925 147506 443
12492 653785 509
52987 455381 449
199325 309811 443
174552 896405 525
11930 437290 449
131631 804456 509
408945 684383 509
143960 149292 357
176339 886240 525
146606 239748 443
84268 116252 354
54906 460981 449
34759 275357 443
94054 931135 525
438364 571566 470
104161 308450 443
76239 669290 509
