==11485== Memcheck, a memory error detector
==11485== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==11485== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==11485== Command: RunCollatz.c++.app
==11485== 
490630 75355 449
335899 780119 470
943075 84447 525
623389 802723 468
666681 413036 470
834875 534464 468
707446 295442 470
801588 152666 470
988806 981253 427
918958 915648 352
748274 571739 447
895559 284267 525
157900 725803 470
780971 375903 470
867830 438845 525
332669 888346 525
861672 786428 525
572038 85183 470
193045 994343 525
200954 169608 365
884565 447659 525
402883 390202 405
513744 283561 470
436231 520066 470
784638 26248 470
342747 929787 525
689777 316923 470
40042 335106 443
703811 167836 470
44833 441693 449
818472 326607 470
82328 132351 354
127873 275519 443
877178 546041 525
103807 110180 354
492733 383461 449
662667 42970 470
687871 40545 470
618709 558868 447
894454 719065 525
142859 314769 443
583510 492662 470
401887 718111 470
984532 416933 525
639688 746598 442
349809 163846 443
580606 978063 525
214509 333586 443
184109 987955 525
393269 551039 470
460808 241689 449
775331 689473 468
271743 360055 441
332806 80579 443
775980 168124 470
140431 367886 443
466024 251556 449
620248 739660 442
536185 838940 525
670873 637761 429
665961 704782 442
818617 680513 468
168662 444980 449
36481 460525 449
854921 915089 476
417079 82460 449
891387 841427 432
456857 791147 470
396830 616037 470
311495 806996 470
511022 68741 449
16180 533544 470
196211 573020 470
329461 631062 470
86637 187145 383
555713 60502 470
288455 658012 470
428747 93655 449
150632 22297 375
897909 458268 525
676735 228086 470
448048 240937 449
428253 669816 470
406024 905970 525
481972 780361 470
538947 805004 468
247101 856316 525
133160 850015 525
722253 106027 470
657992 601458 447
78062 504596 449
64608 883632 525
288115 416127 449
747809 180956 470
899049 100656 525
207448 491708 449
930093 161715 525
486139 19870 449
322958 710183 470
531255 71073 470
324945 521083 470
731714 785242 468
681258 742173 442
13875 886398 525
536956 776694 468
45885 459160 449
504617 807336 470
296122 871854 525
440730 54474 449
918890 357738 525
91960 268947 443
699351 438691 470
921875 148133 525
579687 329836 470
109378 333797 443
609780 698895 447
921985 401164 525
518251 670694 452
410291 780902 470
483477 765080 470
644332 869171 525
99232 535615 470
518266 675620 452
975926 36761 525
486665 235195 449
895898 888875 370
463902 666844 470
950070 633184 525
517530 200681 470
623256 273007 470
917186 714910 525
366739 382851 423
562515 324751 470
799263 933604 525
806724 347896 470
311365 29898 443
216822 534434 470
513028 84820 470
867260 793957 525
660904 567501 447
350581 778519 470
928922 350710 525
806884 587346 468
144854 858439 525
923299 547670 525
405484 667560 470
35331 495794 449
804285 952989 525
