==25572== Memcheck, a memory error detector
==25572== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==25572== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==25572== Command: RunCollatz.c++.app
==25572== 
700138 983739 525
61597 324117 443
468919 436897 444
519574 66398 470
1 10 20
10 1 20
649018 10407 470
672150 258820 470
444947 503602 444
365876 333680 441
845551 210328 525
297669 799622 470
911835 914582 401
725586 799592 468
111908 319733 443
581116 139466 470
456543 322297 449
978638 999604 427
474762 334870 449
777070 594239 468
63813 420411 449
424836 429535 374
771271 538270 468
663788 506257 470
30304 111969 354
780488 89661 470
534791 300873 470
94574 147858 375
935090 924225 476
390687 865448 525
982544 64179 525
160584 400178 443
776764 97077 470
943787 887360 476
497040 386689 449
871064 238648 525
557374 251679 470
844269 149903 525
133027 211091 383
757477 556305 447
95154 45289 351
899689 171998 525
181153 8484 383
307679 356354 441
346833 718781 470
478608 979462 525
319489 955750 525
636597 845032 525
21088 942994 525
795350 191163 470
384034 802338 470
299073 456116 449
764161 870148 525
478028 489716 382
289826 582734 470
652070 338501 470
699128 796387 468
75898 258484 443
133576 831116 470
671570 337494 470
599762 342316 470
662659 665558 367
9217 453827 449
630890 2106 470
480561 556977 470
191437 976380 525
567658 916657 525
546631 648285 452
883912 852082 432
758118 376221 470
851777 902649 432
798462 10804 470
645936 172577 470
429139 83527 449
438172 96772 449
828949 513489 468
421906 309662 449
789887 35584 470
416779 254120 449
329651 690522 470
752869 762909 424
870209 927674 476
239625 207154 443
819916 789094 468
954255 57068 525
602936 887116 525
970063 969025 352
24415 84717 351
608490 920563 525
471985 563172 470
963410 588593 525
955750 941163 414
941742 231324 525
506196 914277 525
510651 913636 525
108552 145478 375
867310 136628 525
274933 473755 449
476380 918824 525
670868 549653 447
975709 252808 525
42176 375458 443
461854 753998 470
159638 550263 470
253785 351532 441
734681 920105 525
524994 169739 470
386109 437256 449
813111 438477 470
881348 964264 476
987946 475770 525
157654 143067 383
409882 630890 470
179017 912537 525
364106 689271 470
622101 423432 470
36713 740235 470
841828 594666 525
935334 28473 525
660859 977 470
367981 966157 525
389954 808625 470
10895 408478 443
237397 703187 470
340210 608063 470
33844 811066 470
399201 95215 443
106537 125489 349
648224 200501 470
310792 535981 470
123780 173646 383
791901 851136 525
438508 978486 525
129273 823578 470
914673 987122 476
236756 758942 470
981385 79529 525
878144 439759 525
506348 203187 449
35096 450196 449
602692 387696 470
756165 168091 470
273499 662964 470
649170 325928 470
656525 427094 470
978821 755341 525
236176 669770 470
519318 345734 470
820313 209931 470
18189 991456 525
965119 873566 476
472870 999695 525
493470 446137 444
532136 706055 452
418854 407288 449
338013 524262 470
580536 20661 470
139435 961670 525
243439 431397 449
169037 893555 525
440705 144349 449
696686 225831 470
566773 742951 447
989075 617463 525
284241 85053 443
233582 802918 470
817902 605164 468
456788 877320 525
797791 885041 525
202485 306794 443
603150 454255 470
363068 31067 443
279175 971009 525
198731 455933 449
170136 639222 470
363984 18616 443
63263 62897 317
808014 971955 525
490876 851105 525
856568 698823 525
520203 287659 470
736786 862946 525
495270 398133 449
403016 649415 470
407105 904694 525
882233 872864 432
486329 982697 525
610413 461213 470
854401 548462 525
497956 377991 449
268250 136353 443
871460 57343 525
768433 395234 470
111573 512269 470
18494 969697 525
872956 69550 525
931122 159668 525
350434 801972 470
435456 392548 449
278016 802125 470
578217 327973 470
332032 91797 443
192658 461243 449
488404 814881 470
737366 533417 452
774781 42847 470
230896 9217 443
893189 656952 525
106965 480866 449
486146 984528 525
919434 216858 525
510041 781739 470
757721 326233 470
383545 400788 436
617768 277253 470
425171 175019 449
437226 917237 525
705109 832734 468
668702 813660 468
938599 727173 525
759644 802033 468
565766 478333 470
354737 205414 443
820496 880738 525
61341 411316 449
515656 270539 470
848298 478211 525
585389 584656 359
203614 320710 443
256440 715546 470
687470 914948 525
189911 86304 383
104188 999299 525
172272 271515 443
808259 43732 470
60761 592896 470
278229 951142 525
831208 550171 468
664948 158967 470
859101 332978 525
170655 654969 470
114045 121399 349
469422 31983 449
887238 49866 525
560395 209656 470
125763 202820 383
80903 967164 525
544495 457612 470
818451 90485 470
546876 15626 470
577485 860383 525
737885 691590 442
300477 923249 525
580353 87067 470
40253 415192 449
654145 283967 470
655640 682190 429
150391 282166 443
581879 173981 470
799531 696167 468
332459 217835 443
509461 844636 525
150391 519288 470
713257 939118 525
63416 521424 470
909943 229096 525
139679 302552 443
261078 312592 407
609131 631623 447
496216 5524 449
337800 255738 407
915253 794983 525
543671 590271 452
73792 617188 470
244538 842591 525
926880 114716 525
362122 353241 379
911896 273255 525
289277 705475 470
797364 34546 470
691651 62348 470
234986 757660 470
980530 364319 525
954773 880036 476
887299 585175 525
560578 434968 470
518372 323548 470
41504 843384 525
793732 728516 468
538483 234864 470
901063 243775 525
719636 93812 470
954590 31983 525
448639 896515 525
56885 333741 443
400025 226075 443
49897 547852 470
13123 253754 443
32868 619782 470
801514 77790 470
843506 513581 525
679169 842713 525
771180 247986 470
746460 447510 470
421540 323182 449
28718 612763 470
504822 476075 426
98908 744141 470
2991 703492 470
471650 22492 449
303620 510956 449
251374 99396 443
103974 502045 449
878052 301362 525
801911 848176 525
67078 974457 525
336701 992188 525
306458 158967 443
639008 269623 470
683106 791688 468
624329 102387 470
483887 722626 470
644013 155610 470
81391 623536 470
113251 475312 449
194275 984711 525
295868 267731 389
833497 468842 470
563904 763428 447
231049 541108 470
490021 658753 470
