==8445== Memcheck, a memory error detector
==8445== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==8445== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==8445== Command: RunCollatz.c++.app
==8445== 
289384 930887 476
692778 636916 442
747794 238336 470
885387 760493 468
516650 641422 452
202363 490028 449
368691 520060 470
897764 513927 468
180541 383427 443
89173 455737 449
5212 595369 470
702568 956430 476
465783 21531 449
722863 665124 442
174068 703136 470
513930 979803 476
634023 723059 442
133070 898168 470
961394 18457 476
175012 478043 449
176230 377374 443
484422 544920 470
413785 898538 470
575199 594325 434
798316 664371 468
566414 803527 468
776092 268981 470
759957 241874 470
806863 999171 476
906997 497282 470
702306 420926 470
477085 336328 449
660337 126506 470
750847 621730 442
661314 925858 476
616125 353896 470
819583 100546 470
898815 233368 470
515435 990365 476
344044 313751 384
171088 426809 449
117277 947179 476
695789 393585 470
705404 502652 470
392755 612400 470
999933 95061 476
549677 993369 476
947740 210013 476
636227 698587 442
348095 297540 441
140796 480571 449
651435 960379 476
97468 66602 351
710098 612903 447
573318 570493 372
926653 260757 476
997302 560281 476
724287 209442 470
953866 429690 476
228445 346620 443
558441 744730 447
958032 108118 476
738098 905772 468
834482 890676 432
120710 698928 470
704568 777857 468
179498 872354 470
254587 276966 407
455307 964684 476
406220 28625 443
51529 332872 443
805733 48830 470
409504 530020 470
258271 363369 441
959709 486716 476
226341 518150 470
747797 700724 424
142619 2246 375
122847 493452 449
892922 243556 470
192380 597489 470
537765 888229 468
469842 792351 470
165194 441501 449
757035 87765 470
470125 324915 449
936988 275857 476
373744 346492 392
322228 148366 443
709860 281937 470
151433 452552 449
316438 899229 470
153276 975408 476
901475 276122 470
468859 794396 470
36030 661238 470
908236 573794 468
65819 894429 470
366144 231012 441
335929 639530 470
318777 322405 371
964444 255764 476
114614 854539 470
118607 436841 449
2905 344819 443
235129 670689 470
797370 67918 470
569918 466997 470
43325 987744 476
259471 512184 470
298491 295500 327
689773 206726 470
385645 755591 470
617506 268140 470
502955 469787 426
907670 338083 470
308543 388465 441
110198 939508 476
759356 228805 470
376349 278612 441
573623 127829 470
949300 887344 476
195747 35569 383
354341 755423 470
23312 613811 470
267606 321802 389
425662 473731 444
44879 811306 470
229321 178737 386
79445 248627 443
648523 503466 470
586709 473417 470
408283 213259 443
412925 167638 449
442063 305625 449
962601 532037 476
433453 911900 476
419380 145551 449
947469 290072 476
900974 487132 470
903882 684931 468
808934 845895 450
158661 370164 443
657200 387982 470
548900 252997 470
152960 713774 470
272814 739669 470
187191 681096 470
952927 116467 476
365085 911341 476
422091 327685 449
443377 855543 470
755937 379108 470
517446 219757 470
669180 418419 470
706888 89413 470
103349 32173 351
451660 262010 449
402337 625211 470
166343 467588 449
878207 319302 470
697714 667373 442
575322 401256 470
864820 44600 470
517722 229905 470
955940 939812 414
73941 915668 476
311706 346229 441
811128 829151 450
565985 996659 476
763921 789225 468
602423 867270 468
821397 54082 470
645631 740085 442
679293 811973 468
207673 73851 383
647626 905386 468
741223 739300 393
306641 606043 470
783899 340714 470
352299 256191 441
280525 942591 476
688210 108582 470
288820 499337 449
937733 371156 476
495995 218005 449
160380 614770 470
85274 981777 476
668851 247256 470
721861 348143 470
575580 445885 470
421994 223206 449
867622 679568 468
962505 690614 476
801962 262755 470
31327 154260 375
518945 828203 468
613203 723507 447
936785 902022 476
222843 390869 443
789529 235190 470
608873 949909 476
849959 210499 470
448037 518809 470
457754 686249 470
383304 33334 443
132134 321649 443
772891 999755 476
517568 251747 470
690369 319530 470
514501 238047 470
473789 549798 470
66250 86991 351
273304 3034 443
505364 12498 449
910254 294893 476
247687 519126 470
761153 613997 447
245976 209189 443
649158 703730 442
895437 32461 470
253415 543922 470
870461 26305 470
60029 388028 443
278051 266749 389
707557 308903 470
504795 697698 470
858700 571044 468
301040 132003 443
90429 806404 470
144501 682 375
617648 908539 468
36160 895152 470
522536 282135 470
104340 171693 383
502216 516128 470
720505 755630 424
60050 590965 470
298286 636430 470
495344 576336 470
903178 202901 470
885239 407972 470
416950 260290 449
495368 717989 470
392293 585796 470
40744 53145 340
102830 658391 470
961683 655341 476
553542 570 470
453827 174233 449
172262 956043 476
690361 409118 470
228024 266762 443
82 526310 470
903191 495426 470
618997 806368 468
214678 504235 449
730691 631627 442
764525 226058 470
349615 673169 470
328206 390359 441
726313 947387 476
565101 204347 470
602727 634995 447
204917 56553 383
325579 893530 470
528947 532291 346
302648 756971 470
799052 819081 450
799632 218594 470
830858 418628 470
541313 561887 452
439215 788356 470
193513 720091 470
14413 59480 340
909611 858970 432
966190 152275 476
806356 47642 470
356621 925434 476
198988 77889 383
498339 524567 470
487771 27285 449
56857 790418 470
300607 372261 441
125850 100238 354
107206 473060 449
35218 648519 470
34946 990784 476
436874 228459 449
710874 967638 476
804290 620484 468
826608 770479 468
772758 149315 470
334472 645730 470
591101 533460 452
723619 89439 470
58026 211389 383
633075 631234 385
518158 933682 476
3494 160359 383
550271 110700 470
633418 101840 470
275570 668364 470
92623 228795 386
413174 319848 449
196432 217463 386
456683 539391 470
504293 745792 470
205058 355116 443
391522 796158 470
888575 631492 468
401948 462952 449
359232 35022 443
610538 393741 470
485055 614031 470
554099 35326 470
241082 187517 443
653517 33003 470
372232 746140 470
261797 785405 470
582339 974581 476
519219 39022 470
513971 539863 439
784813 235380 470
894978 692686 468
31537 299905 443
324177 433484 449
279208 199760 443
984858 889745 476
593500 469912 470
20128 663951 470
505237 777561 470
367819 675106 470
810564 740050 468
421245 588712 470
41806 519935 470
563292 77376 470
558956 593615 434
133590 343769 443
828994 544919 468
552806 376883 470
844823 876983 432
326718 124031 443
593094 311575 470
530127 186594 470
781487 550254 468
850544 803075 450
327815 734714 470
478180 138378 449
474763 415776 444
727089 32920 470
935711 806733 476
110295 11018 354
400347 760236 470
871138 745692 468
305154 423944 449
122574 666329 470
300926 449292 449
306711 894019 470
277218 836837 470
596964 575056 434
387091 963859 476
378131 714905 470
698572 372662 470
369634 689686 470
304790 613074 470
722605 756852 424
419806 349251 449
767869 336504 470
109486 639007 470
82196 414640 449
62950 721121 470
80968 880227 470
686764 387678 470
290597 963982 476
740866 887561 468
539037 127956 470
367771 433519 449
359212 66343 443
322533 245197 407
272380 627322 470
858271 994985 476
384173 794428 470
344235 152041 443
647284 970073 476
307399 245831 407
901064 370348 470
966951 982031 458
250574 653715 470
886060 57523 470
134048 626925 470
945083 189436 476
271233 829205 470
622955 630444 385
411899 945487 476
875641 684279 468
89160 250263 443
679263 989684 476
561042 539849 452
141724 208325 383
26273 449123 449
454155 927336 476
335822 937458 476
909366 102748 470
591172 311777 470
160270 725219 470
938702 621704 476
914654 209934 476
450908 53960 449
356729 862807 470
515798 748721 452
547085 121309 470
515335 742699 452
110992 76377 354
798899 252716 470
801053 825172 450
218190 771560 470
752507 554011 447
709017 178225 470
173110 816540 470
490001 333379 449
58110 945054 476
955082 489115 476
671339 405990 470
59427 28068 340
785148 575224 468
776788 332232 470
696533 292123 470
591282 323876 470
884851 390180 470
576591 202255 470
215351 311132 443
973814 967858 458
381495 199182 443
146082 554604 470
15721 152434 375
887983 590182 468
97488 359416 443
79297 768826 470
765405 138723 470
796893 550552 468
230298 90033 386
399135 443182 449
898507 990416 476
767058 299709 470
380596 860000 470
501963 112298 449
687484 475777 470
80155 68978 351
191310 742588 470
139933 723383 470
895022 544267 468
313564 508861 449
903683 909212 383
277686 669087 470
564286 590931 434
735991 794584 468
197315 651477 470
754117 95821 470
641893 37526 470
395529 538840 470
897526 897491 326
651137 101361 470
889619 247644 470
170338 80929 383
506583 826622 470
804311 917956 476
370889 634226 470
426816 274571 449
543438 220854 470
460009 107723 449
811784 712351 468
418658 9098 449
363828 689127 470
621270 522072 452
726652 533150 452
60911 140529 354
430640 228399 449
241889 836611 470
992394 928578 458
433891 498977 444
755200 754553 318
416932 126088 449
388778 360100 423
400658 448567 449
580953 377018 470
72642 392736 443
89369 491299 449
918185 453196 476
696777 55806 470
975267 423429 476
588955 552529 434
80309 19594 351
297279 322198 384
372556 289673 441
250775 806446 470
305001 522326 470
560998 238284 470
648413 466128 470
598383 565422 434
914694 179335 476
942440 987335 458
88422 548160 470
994986 522958 476
1355 691762 470
578763 492973 470
631542 167717 470
561853 711851 447
703663 375483 470
550400 76218 470
665155 801174 468
399016 486507 449
839852 476365 470
724791 488264 470
942492 323173 476
570038 373538 470
18860 28829 308
360872 107281 443
576988 355857 470
146591 578342 470
563971 725353 447
587666 195512 470
893070 149518 470
907362 113084 470
41352 974113 476
189301 706507 470
291639 104668 443
709365 131490 470
