==23263== Memcheck, a memory error detector
==23263== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==23263== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==23263== Command: RunCollatz.c++.app
==23263== 
196402 544008 470
925921 600937 525
901263 277269 525
893879 648194 525
690878 655570 429
530327 608497 452
816593 98407 509
375723 111715 443
775127 26649 509
852039 24072 525
169914 463356 449
485783 243035 449
454217 392022 449
546552 262288 470
458705 909842 525
239076 17562 443
178980 484318 449
428805 628502 509
178107 755937 509
372394 697943 509
537143 232540 470
54295 517838 470
149123 835676 520
180534 609686 470
19542 817817 509
492140 57562 449
878229 747119 525
19847 396324 443
310485 161974 443
806227 334594 509
549118 204416 470
318860 630935 509
562123 734894 509
190125 806715 509
695341 326191 509
848999 660752 525
541904 858391 525
408365 309410 443
285173 665368 509
106348 601594 470
930750 83295 525
673496 743040 504
743176 435085 509
826018 105354 520
928946 244048 525
568966 365125 470
787645 668830 507
155648 60286 375
726412 635534 504
511710 435854 446
388746 706770 509
174001 189344 365
828522 454869 520
44829 995232 525
179017 111405 383
333712 813378 509
482865 932797 525
835919 360684 520
811063 741162 507
712108 544257 509
780932 627576 507
336276 794699 509
605936 634240 509
581189 171652 470
549578 175760 470
695580 858114 525
96180 585503 470
788300 943484 525
918891 87787 525
471211 263421 449
548645 926001 525
760678 507555 509
757267 60616 509
659285 586132 509
255878 882907 525
988585 137279 525
314094 14657 443
827970 837834 525
185341 351419 443
766686 984413 525
295529 838985 525
633643 893130 525
650257 579625 509
101757 156760 383
570295 299629 470
20698 977131 525
210796 973240 525
746291 630865 504
547017 143701 470
58158 82539 351
714457 945587 525
42334 797174 509
496916 278977 449
342548 485045 449
92102 834018 520
666831 92093 509
820559 764493 507
191758 247517 443
375107 828037 520
887110 142119 525
266801 969967 525
885104 21023 525
451777 274709 449
174266 783616 509
116663 461174 449
488861 133797 449
831252 412615 520
920782 580827 525
855963 356042 525
963598 854400 515
688433 996426 525
687644 808471 507
158685 452720 449
875275 934572 515
663664 473669 509
685998 438366 509
303230 478213 449
282991 589902 470
914250 318748 525
611391 752547 509
48576 895360 525
310823 799095 509
918043 326186 525
544317 281889 470
714983 273970 509
125107 627231 509
479520 213574 449
705482 846240 525
875130 919174 476
739876 20844 509
155258 908608 525
132406 895409 525
262017 296067 440
439388 726763 509
905321 146210 525
237062 963502 525
55368 285063 443
329552 624979 470
535826 245105 470
543536 407933 470
672027 681099 385
957384 382151 525
850873 175338 525
858908 688268 525
446088 228131 449
583901 899218 525
575495 876615 525
968100 916819 515
664415 947709 525
635258 466538 509
933188 569018 525
351188 981271 525
813428 611295 509
942940 525935 525
511773 734702 509
339242 610979 470
696667 317930 509
540945 176746 470
708895 130187 509
691734 360590 509
792171 89435 509
516796 986960 525
980217 789360 525
779259 26681 509
694460 432390 509
264783 65727 443
952510 263352 525
653228 831120 520
697128 437147 509
600014 607997 403
362016 653944 509
101999 986182 525
334412 116707 443
457362 249598 449
962742 554236 525
585277 126939 470
354504 933186 525
129155 335836 443
727158 449103 509
457791 306327 449
253882 949364 525
668061 419486 509
420091 511985 470
648658 47373 509
632263 859985 525
150444 644531 509
796671 40032 509
85251 823899 520
276498 761674 509
215375 133494 383
458465 111442 449
25427 421478 449
389890 236843 443
104312 216233 383
917089 985079 515
580084 442784 470
351424 634265 509
684201 80955 509
124702 723129 509
859274 412868 525
719350 521556 509
702712 593156 509
950814 241148 525
419755 197206 449
840656 197107 525
6667 987078 525
205382 941088 525
126239 670372 509
