==14004== Memcheck, a memory error detector
==14004== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==14004== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==14004== Command: RunCollatz.c++.app
==14004== 
1 10 20
100 200 125
201 210 89
900 1000 174
1 1 1
10 9 20
10 100 119
50 100 119
999167 999167 321
900000 1000000 507
326123 329007 322
853330 849495 357
188672 189490 316
834848 830254 419
311211 311764 309
969106 967850 352
560042 560197 284
306602 304686 309
977391 978185 383
145328 141082 375
217211 220505 355
906281 901559 445
370689 370925 304
359914 357763 379
612018 613136 310
668609 667323 367
761937 762532 362
810831 807094 406
952817 954529 414
664101 661389 367
903614 906177 445
452892 451368 294
234365 238573 350
910108 910053 476
346424 347028 348
704617 702064 380
899950 901913 401
573372 569162 377
84022 88943 333
51742 47875 309
384127 387170 348
810858 806760 406
685404 688382 398
552816 550061 377
266203 266425 301
915557 912248 401
299076 301215 371
93716 91860 315
573057 574034 359
477092 474390 351
63047 63316 317
214141 212309 373
514270 514505 258
963611 962828 414
161784 165540 339
470810 466911 413
179289 181796 365
148503 145362 357
897525 901061 401
514442 512913 351
360259 362974 410
789827 786931 406
966357 968732 321
919523 916969 383
609896 614263 354
194375 193090 329
26201 30768 308
93900 89327 333
635256 635768 416
588459 587149 328
516245 518956 439
75915 72144 325
61925 62836 317
15670 13613 271
637121 637633 354
301668 300758 309
405073 406201 405
390342 385908 436
419866 421128 343
648246 645039 341
428430 429730 281
159062 156091 383
691913 695875 367
719963 719293 349
745959 750212 393
853497 853402 220
813889 818783 357
138855 135319 331
867244 870727 388
15802 12844 276
399650 401533 387
239513 235938 350
849676 850055 357
632406 629540 385
653916 656617 385
754017 752690 424
566094 568011 359
267390 266169 345
602585 605780 372
321078 319371 371
469485 471060 338
71252 69135 312
108319 111692 323
616202 612574 447
353384 357334 379
216326 214121 324
387405 390563 436
12691 11143 263
796097 796239 269
243699 240816 319
644455 647646 323
990295 985746 396
631480 636341 416
206444 202751 355
690765 691130 336
320010 316802 353
424087 428993 374
898125 897011 339
590389 594072 403
957843 956354 352
588390 592422 403
155012 150193 352
349727 354201 379
227660 222876 368
526211 528345 377
54389 54225 260
462197 466779 369
393003 391216 330
26081 27916 308
62138 61935 317
840280 843864 388
609484 606288 403
764671 766112 362
253282 250160 332
747078 747483 349
480524 476413 413
111183 115840 349
49789 45456 314
512134 513784 333
337378 335926 366
180410 183547 365
938667 938204 308
159316 161997 370
