==7675== Memcheck, a memory error detector
==7675== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==7675== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==7675== Command: ./RunCollatz.c++.app
==7675== 
1 10 20
100 200 125
201 210 89
900 1000 174
89383 30886 351
92777 36915 351
47793 38335 314
85386 60492 351
16649 41421 324
2362 90027 351
68690 20059 340
97763 13926 351
80540 83426 320
89172 55736 351
5211 95368 351
2567 56429 340
65782 21530 340
22862 65123 340
74067 3135 340
13929 79802 351
34022 23058 308
33069 98167 351
61393 18456 340
75011 78042 351
76229 77373 351
84421 44919 351
13784 98537 351
75198 94324 351
98315 64370 351
66413 3526 340
76091 68980 325
59956 41873 340
6862 99170 351
6996 97281 351
2305 20925 279
77084 36327 351
60336 26505 340
50846 21729 324
61313 25857 340
16124 53895 340
19582 545 279
98814 33367 351
15434 90364 351
44043 13750 324
71087 26808 340
17276 47178 324
95788 93584 328
5403 2651 238
92754 12399 351
99932 95060 328
49676 93368 351
47739 10012 324
36226 98586 351
48094 97539 351
40795 80570 351
51434 60378 340
97467 66601 351
10097 12902 268
73317 70492 325
26652 60756 340
97301 60280 351
24286 9441 282
53865 29689 340
28444 46619 324
58440 44729 340
58031 8117 340
38097 5771 324
34481 90675 351
20709 98927 351
4567 77856 351
79497 72353 351
54586 76965 335
55306 64683 335
6219 28624 308
51528 32871 324
5732 48829 324
9503 30019 308
58270 63368 335
59708 86715 351
26340 18149 282
47796 723 324
42618 2245 324
22846 93451 351
92921 43555 351
92379 97488 328
37764 88228 351
69841 92350 351
65193 41500 340
57034 87764 351
70124 24914 340
36987 75856 340
73743 46491 340
22227 48365 324
9859 81936 351
51432 52551 340
16437 99228 351
53275 75407 335
1474 76121 340
68858 94395 351
36029 61237 340
8235 73793 340
65818 94428 351
66143 31011 340
35928 39529 306
18776 22404 274
64443 55763 335
14613 54538 340
18606 36840 324
2904 44818 324
35128 70688 340
97369 67917 351
69917 66996 312
