==30585== Memcheck, a memory error detector
==30585== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==30585== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==30585== Command: RunCollatz.c++.app
==30585== 
601429 282310 470
560564 571545 421
652582 141412 470
239961 549920 470
198838 396547 443
341734 450163 449
261122 367506 441
681632 655837 429
455060 513461 470
101363 434485 449
11668 173865 383
98234 575652 470
112155 287007 443
92907 77888 338
715058 156234 470
367171 600659 470
438544 211907 449
456377 375299 449
353320 696339 470
209391 552159 470
377058 551125 470
286494 638181 470
202804 252299 443
578191 657864 447
49932 679554 470
376522 61601 443
137592 474756 449
637253 249747 470
45935 14333 324
327635 45165 443
170567 694806 470
645825 609112 447
190886 386375 443
268583 544207 470
366887 477975 449
380538 28117 443
313273 667033 470
666299 516077 452
203505 528663 470
458114 253437 449
492390 118808 449
315039 629982 470
593565 236464 470
163901 639500 470
250797 491537 449
684666 421365 470
470516 614664 470
314649 661403 470
285212 583232 470
489782 652099 470
345380 154493 443
680217 658653 398
105699 630688 470
458903 309204 449
443524 201190 449
562642 220086 470
319999 161853 443
134241 197736 383
398317 298143 441
121409 649115 470
73852 90248 351
354652 544369 470
704912 669301 442
489944 274296 449
536706 263899 470
210568 166259 373
418393 174957 449
109084 524092 470
89818 567988 470
117468 533342 470
53350 680110 470
37601 373349 443
126136 171843 383
571086 524454 452
469986 692495 470
457742 543839 470
66915 96566 351
372380 56000 443
50040 146497 375
330297 586747 470
410397 540865 470
37179 112962 354
715823 146264 470
637055 89813 470
714252 38695 470
623156 51774 470
2978 660758 470
425124 129115 449
116774 280382 443
653569 586760 447
257050 395484 441
414772 323966 449
492051 71325 449
379967 542092 470
217822 710264 470
413012 628220 470
535302 450191 470
25355 535298 470
596455 662410 447
625111 594879 447
701106 532440 452
646654 704085 442
477371 355951 449
117372 594145 470
636334 55114 470
465078 177556 449
450599 164022 449
501523 226822 449
235347 165662 443
53086 453170 449
160099 466098 449
365563 695402 470
200461 390918 443
514872 81089 470
337500 424156 449
675969 322779 470
240769 606796 470
311036 2313 443
246919 428409 449
596458 167426 470
483524 345709 449
344983 218295 443
509731 130678 449
445118 29251 449
296341 498204 449
482422 456440 444
248475 132157 443
436014 448937 400
523076 235059 470
530026 144749 470
659216 490167 470
467528 184157 449
381136 62737 443
186470 628055 470
491147 67101 449
79654 258844 443
412811 424637 418
477139 206715 449
555315 206430 470
235966 135829 443
704634 2561 470
592269 237281 470
134719 312456 443
686219 657795 398
547516 500417 470
86717 490904 449
274757 554246 470
675062 655893 429
616984 145705 470
568121 392303 470
212807 647775 470
651147 625618 416
356585 412459 449
116505 196073 383
618889 352472 470
331902 607696 470
355034 208344 443
129150 489754 449
