==19774== Memcheck, a memory error detector
==19774== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==19774== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==19774== Command: RunCollatz.c++.app
==19774== 
39354 29797 324
3541 17098 276
63240 95337 351
94782 33550 351
66244 54568 335
75142 25394 340
86342 13921 351
61093 60889 335
25840 70959 340
73097 1117 340
86299 61075 351
8467 46303 324
28974 95779 351
94015 13898 351
81057 68455 351
43907 87632 351
87801 30906 351
79486 18262 351
18506 24591 282
77307 1353 351
70402 84110 351
99214 5190 351
78594 17366 351
24025 72803 340
32547 6717 308
44219 76089 340
19985 68537 340
13024 57130 340
67619 54779 335
27362 52083 324
24767 79451 351
10357 56382 340
40734 5366 324
13470 56494 340
19722 32082 308
92746 23112 351
98053 84640 333
26327 33416 308
77694 14544 351
31042 65897 340
67317 89334 351
4782 90276 351
27547 65208 340
68308 57149 335
90614 8299 351
5257 77253 351
26236 54575 340
2316 68630 340
55392 75731 335
72913 41471 340
71521 49032 340
7199 85039 351
14740 12748 276
28740 18841 308
58817 25647 340
54037 71079 335
12940 38935 324
44831 51442 314
10708 32131 308
15148 92383 351
57326 60511 317
5119 43342 324
32645 11119 308
61832 15694 340
2446 66750 340
73833 92741 351
73331 32894 340
90352 38694 351
37550 91307 351
18937 63325 340
93319 5716 351
35901 24867 324
93424 20075 351
62824 82735 351
70333 57879 335
59340 43782 340
9580 52230 324
57529 81023 351
94829 10646 351
16450 42202 324
27819 46090 324
6721 7000 257
34314 86197 351
44485 96395 351
3183 6442 262
81752 85361 320
69938 19738 340
25774 21041 282
48311 94961 351
4008 2475 238
33868 69902 340
13150 35133 311
52216 70385 340
90857 33741 351
971 46591 324
26970 10256 308
39500 90057 351
87425 50385 351
13309 399 276
58478 51627 340
61014 29505 340
31499 68603 340
40977 42744 288
39301 87311 351
31991 1680 308
23800 28933 308
7783 90873 351
61819 65974 330
58662 82495 351
894 18745 279
35295 56855 340
60195 88587 351
19362 74320 340
33024 75751 340
83775 24726 351
86808 24455 351
91163 64050 351
94105 35409 351
93501 84905 333
43884 86974 351
38024 57414 340
76163 10122 340
55008 20038 340
55065 69499 335
1496 96140 351
45480 13131 324
61753 61405 286
86690 66722 351
59978 89632 351
62711 64964 330
23728 60030 340
53558 31931 340
47560 17800 324
14229 45367 324
45524 41632 314
68940 45572 340
48451 86669 351
26987 78581 351
97382 39562 351
23588 95471 351
8015 43432 324
64133 64869 299
32721 24870 308
3534 94136 351
26436 82558 351
23669 96180 351
30687 77629 351
81422 83507 320
26011 99624 351
87403 18839 351
67205 68673 312
41148 2556 324
8112 74495 340
92469 31156 351
43089 45880 314
20573 18130 274
40804 90489 351
22676 28843 308
22688 44140 324
82075 44419 351
43159 21187 324
41952 36134 306
61613 63156 317
45705 1440 324
57267 41510 340
17151 85491 351
27036 82210 351
44710 87944 351
23964 44707 324
2490 33790 308
39102 6038 324
88195 69108 351
3293 71910 340
