==30588== Memcheck, a memory error detector
==30588== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==30588== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==30588== Command: RunCollatz.c++.app
==30588== 
225267 721909 509
337338 412936 449
265804 771304 509
307300 598271 470
803397 992118 525
574236 639288 509
809986 961982 525
565009 983967 525
203526 636113 509
512203 896844 525
937432 996683 507
765064 938048 525
859786 962875 515
26357 836847 520
536470 946706 525
842892 852784 419
503930 780804 509
819600 893869 525
909621 930014 515
605067 623524 447
346441 760499 509
998485 999745 396
103214 781292 509
491251 734209 509
619924 877184 525
524831 810642 509
473618 718297 509
402668 616604 470
178345 811130 509
22702 591487 470
700862 723276 504
494958 654960 509
442879 916941 525
942231 986447 458
641892 767938 504
263246 505966 449
804653 825456 520
888712 907400 445
909264 991405 515
721753 788963 507
199653 776181 509
742441 890401 525
65215 890805 525
216257 884267 525
266916 752977 509
878496 888752 401
908999 922983 476
65866 205366 383
112978 746298 509
944187 954979 414
317462 409747 443
363292 624253 470
453542 535393 470
900878 912680 476
644710 701869 442
945620 961076 447
704044 753918 504
340417 350398 441
615200 897586 525
368754 590241 470
708617 888444 525
899867 975751 515
714145 799893 507
404286 507565 449
523787 733132 509
565308 805543 509
316488 837730 520
657645 779484 504
973485 992012 427
631949 888719 525
455048 808120 509
815094 938779 525
66451 809050 509
440301 448638 369
31126 708355 509
251913 643077 509
553070 690017 509
975554 977933 383
132552 724184 509
225983 258448 443
162702 383983 443
187958 293686 443
308569 946073 525
416765 459181 420
983401 985520 427
124841 520363 470
281403 537619 470
763677 871311 525
245967 608881 470
497175 713876 509
227317 245378 443
807734 921008 525
230599 728370 509
952602 993322 458
368133 769263 509
364980 858972 525
377907 915326 525
589893 766939 509
806165 912419 525
571299 864216 525
941176 943146 339
817817 962024 525
134465 911145 525
591074 886169 525
113137 191662 383
959617 992263 458
516065 621951 452
804484 901725 525
928188 973435 507
699776 934445 525
491385 601314 470
796757 857591 525
757933 831099 520
642300 664724 429
236884 618567 470
114752 425241 449
729228 977525 525
682364 901964 525
808078 907634 525
554773 774217 509
287276 345501 422
1514 48079 324
362127 423956 449
421388 633445 509
241717 319130 440
529557 746564 509
366364 815487 509
543594 944135 525
939050 989671 507
204639 304628 443
128421 581141 470
240014 301548 440
854415 913949 476
486738 980404 525
743679 961944 525
342838 660229 509
605818 755744 509
702298 750807 504
207411 766016 509
576116 706584 509
453930 675792 509
969462 992737 458
243976 525916 470
950716 957356 414
673702 996360 525
188139 850625 525
440160 594872 470
612150 968994 525
631029 936064 525
701115 857011 525
67507 255878 443
37433 203232 383
209769 549184 470
186881 834499 520
133243 572725 470
603521 863858 525
211220 902284 525
281632 336329 422
856281 923547 476
983913 985853 427
295758 349160 441
69911 214328 383
325855 536287 470
97382 393813 443
779101 804359 507
468913 518023 470
948651 982751 458
259270 566377 470
797895 890291 525
414464 517653 470
90053 641374 509
304480 778086 509
201661 538765 470
36240 596600 470
996546 997670 352
631185 952179 525
552395 651143 509
629161 761161 504
105702 794242 509
815113 889142 525
226917 521844 470
4885 714990 509
715959 992450 525
548920 833006 520
289692 978854 525
942722 948872 383
226665 983096 525
412458 513056 470
971443 983248 427
740870 943769 525
916047 922700 445
364659 410793 449
568327 768900 509
619487 896141 525
10809 103660 351
993437 998541 365
272050 741575 509
794800 889653 525
928066 993928 507
667463 791022 507
925801 998738 507
394387 508916 449
709486 771752 468
446428 846021 525
149232 482576 449
313903 464467 449
981818 996285 427
99859 811748 509
972716 980984 427
538456 975608 525
986124 999612 396
92429 298163 443
167017 438800 449
384746 811412 509
130219 634193 509
684499 842699 525
76644 549377 470
970073 994969 458
699121 982825 525
670964 965502 525
945038 972639 458
926536 965997 507
973971 978500 416
941134 945504 383
222040 687518 509
766633 780315 468
524010 560596 452
399491 912570 525
746237 811756 507
99419 134042 354
346982 446754 449
5412 472483 449
782678 856448 525
979060 980793 383
986491 998486 396
349139 702981 509
22185 54526 340
911143 920569 434
721137 932171 525
877209 879715 401
964514 987293 458
875548 920970 476
425222 545678 470
510623 531211 470
817289 910553 525
501903 559876 470
597901 784010 509
261936 347627 441
123474 740303 509
717746 911272 525
183671 320564 443
129235 483876 449
652564 682357 429
516293 909119 525
539342 886551 525
917397 928373 515
290685 563459 470
968302 977119 458
974441 988438 427
406668 648404 509
852544 949238 515
688310 778657 504
509106 661120 509
166703 431588 449
860862 923907 476
659507 727055 504
34020 728494 509
118816 255169 443
460888 817478 509
481354 841237 525
765468 832133 520
137379 621489 470
563754 782968 509
166402 728369 509
524387 700943 509
965217 985657 458
834382 977344 525
794310 958761 525
952653 960756 414
711612 711767 274
697663 923202 525
697026 991816 525
603645 741150 509
247543 987303 525
11045 256477 443
581035 781773 509
769005 854120 525
638779 896321 525
738844 985392 525
298751 981091 525
613785 660810 509
192147 784116 509
617037 966935 525
691475 852276 525
684659 772448 504
978891 987410 427
385107 402730 436
37032 323697 443
228548 606753 470
978793 998875 427
490626 636592 509
281939 485836 449
524810 977177 525
918782 950922 515
172162 475093 449
7820 263032 443
124766 631887 509
237495 681509 509
189629 455950 449
63844 535154 470
321461 536789 470
763169 844887 525
609109 630184 509
650012 696746 442
949722 996527 458
48878 211690 383
458635 807405 509
117803 325672 443
609662 844508 525
434182 502455 446
218577 859253 525
677979 840902 525
87416 131426 354
275054 807900 509
566363 897357 525
374313 764921 509
206993 210988 342
845649 900784 452
346352 894400 525
908864 938463 515
49002 751517 509
356956 970933 525
207009 870496 525
902771 987290 515
870402 907516 445
641774 874423 525
220897 372726 443
762101 908144 525
491391 543982 470
11377 678568 509
365227 627475 509
626363 926370 525
583458 644712 509
98785 387234 443
320816 938897 525
536591 985378 525
802822 931595 525
595322 963152 525
514202 952962 525
493068 676459 509
280078 626282 470
382408 857527 525
350923 676397 509
813875 876456 525
680733 994444 525
771794 775431 437
724203 807032 507
971065 981185 427
1190 439021 449
229193 744855 509
264810 476683 449
491152 856452 525
753675 824872 520
321368 553849 470
667084 964091 525
62586 959855 525
45600 623806 470
271668 486098 449
358991 862685 525
204918 816470 509
661655 944577 525
597016 778348 509
928021 930618 383
234244 690832 509
704152 901541 525
76788 713769 509
152115 755681 509
89629 562254 470
149332 545097 470
931567 950037 507
624346 994089 525
70622 966064 525
146675 223893 386
172742 221554 386
482680 589593 470
143861 788793 509
934322 984240 507
820507 896382 525
918732 970969 515
959104 968804 447
981687 994157 427
406853 708994 509
177630 789985 509
399909 847514 525
665568 862674 525
720348 901006 525
306188 539724 470
870974 956755 515
392493 803865 509
795866 862048 525
352148 921468 525
436803 511151 446
450303 494136 446
775323 853791 525
691253 701704 442
717363 953465 525
111744 581223 470
259404 706591 509
278892 981859 525
627760 692231 449
63957 766243 509
111855 661474 509
292256 461733 449
126354 343639 443
207893 979662 525
863075 963695 515
365265 744269 509
753881 811822 507
309208 714477 509
595771 613730 436
169947 206162 365
881179 939327 515
486649 741792 509
823375 979515 525
293111 378998 443
246326 692423 509
649608 935579 525
841443 998242 515
594560 861861 525
392691 849491 525
337793 529236 470
452826 756211 509
617766 855217 525
204787 542043 470
729040 843428 525
648551 689851 429
188356 829603 520
19865 200888 383
667971 754222 504
