==3991== Memcheck, a memory error detector
==3991== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==3991== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==3991== Command: RunCollatz.c++.app
==3991== 
524400 811060 509
974772 882127 507
904295 950249 507
289406 361170 441
500687 603308 470
372609 185648 443
168238 101729 383
372234 405977 436
776298 51802 509
598642 160556 470
933463 941807 507
170014 137842 383
275042 27216 443
690737 192746 509
835504 20550 509
64885 359903 443
347961 556008 470
758381 768608 468
506256 47786 449
646129 523294 509
167446 535090 470
708941 852035 525
636818 597527 509
258012 413115 449
165680 373005 443
90023 99142 333
314811 776388 509
753335 589852 509
803603 444071 509
298949 639106 509
464620 363833 449
515360 328933 470
919840 273740 525
97540 942447 525
837878 260020 525
465740 5323 449
795109 691033 504
373709 431926 449
288559 631720 509
361393 454238 449
4724 451415 449
69731 835886 509
227802 823065 509
425737 547756 470
267135 241037 407
186861 248106 443
604869 218572 470
577038 41060 470
8663 190929 383
983506 846540 507
967301 965598 365
368214 762409 509
656630 741923 504
710687 461540 509
889994 588431 525
915777 894718 476
556197 985507 525
246955 300350 407
324923 672692 509
848105 592057 525
913728 551317 525
840162 34949 525
769888 933552 525
76008 778550 509
640832 575866 509
625090 608132 447
541463 509655 470
886893 198092 525
251577 113931 443
175983 141571 383
702361 91759 509
552640 258557 470
593617 799594 509
558906 434891 470
988637 923362 507
26947 418717 449
474678 383460 449
970017 244565 525
833363 46024 509
539466 474195 470
138241 164555 383
598678 679703 509
674210 1922 509
394146 442138 449
115852 570128 470
100060 334564 443
178238 169051 347
109472 288206 443
484997 184729 449
723096 989985 525
108090 266394 443
408701 582767 470
649854 378717 509
343683 999568 525
941093 883149 507
473762 595685 470
564055 588792 434
275388 754616 509
590713 185885 470
196754 222917 386
272365 813165 509
73832 966954 525
498568 183304 449
771512 983564 525
884384 10959 525
973548 992474 427
277353 898601 525
91592 443558 449
793669 951627 525
443125 251113 449
834775 433239 509
846798 398829 525
22030 638537 509
669797 129094 509
824421 382902 509
868362 613137 525
196066 942194 525
96443 694633 509
641849 867954 525
194548 526232 470
878912 684448 525
35057 156264 383
99400 643001 509
599821 893068 525
594627 559298 434
660533 429401 509
992536 507330 525
344581 530917 470
145866 14377 375
660010 486638 509
397278 44724 443
616127 109696 470
503269 712569 509
320680 145117 443
580522 515228 452
187700 459433 449
716027 739109 424
132049 815426 509
382109 248221 441
708493 976735 525
807518 369025 509
922487 316405 525
392706 783419 509
847321 54923 525
314148 23683 443
541561 227777 470
68406 674039 509
337472 571674 470
386607 658152 509
233142 483480 449
689731 937193 525
942912 405757 525
676301 591312 509
221182 574761 470
355885 446026 449
67847 163402 383
331403 990333 525
996159 724108 525
290104 843479 525
779031 604251 509
867161 836943 525
832027 935566 525
510981 685851 509
23591 413939 449
860354 256732 525
897418 550084 525
193925 356681 443
472192 386577 449
947993 693373 525
961338 303877 525
655750 29184 509
983630 987152 427
535869 979788 525
711260 342324 509
339619 6642 443
946574 206779 525
359936 294952 441
658697 387268 509
980802 682287 525
801206 841155 525
939019 214975 525
907590 649295 525
571655 379781 470
552223 35999 470
73153 29912 340
339875 245255 407
59096 839857 525
232406 111316 443
335996 460017 449
453639 675614 509
983010 916564 507
882393 342945 525
211515 541089 470
730212 708669 411
223375 47769 386
549823 678745 509
262743 457413 449
844391 834398 525
353545 396614 436
870396 943050 507
426525 726623 509
188304 1972 383
82831 420709 449
629639 418826 509
880726 599629 525
94440 863735 525
516192 493184 470
723032 727707 362
