==15133== Memcheck, a memory error detector
==15133== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==15133== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==15133== Command: RunCollatz.c++.app
==15133== 
289383 930886 525
692777 636915 442
747793 238335 509
885386 760492 525
516649 641421 509
202362 490027 449
368690 520059 470
897763 513926 525
180540 383426 443
89172 455736 449
5211 595368 470
702567 956429 525
465782 21530 449
722862 665123 504
174067 703135 509
513929 979802 525
634022 723058 504
133069 898167 525
961393 18456 525
175011 478042 449
176229 377373 443
484421 544919 470
413784 898537 525
575198 594324 434
798315 664370 504
566413 803526 509
776091 268980 509
759956 241873 509
806862 999170 525
906996 497281 525
702305 420925 509
477084 336327 449
660336 126505 509
750846 621729 509
661313 925857 525
616124 353895 470
819582 100545 509
898814 233367 525
515434 990364 525
344043 313750 384
171087 426808 449
117276 947178 525
695788 393584 509
705403 502651 509
392754 612399 470
999932 95060 525
549676 993368 525
947739 210012 525
636226 698586 442
348094 297539 441
140795 480570 449
651434 960378 525
97467 66601 351
710097 612902 509
573317 570492 372
926652 260756 525
997301 560280 525
724286 209441 509
953865 429689 525
228444 346619 443
558440 744729 509
958031 108117 525
738097 905771 525
834481 890675 525
120709 698927 509
704567 777856 504
179497 872353 525
254586 276965 407
455306 964683 525
406219 28624 443
51528 332871 443
805732 48829 509
409503 530019 470
258270 363368 441
959708 486715 525
226340 518149 470
747796 700723 504
142618 2245 354
122846 493451 449
892921 243555 525
192379 597488 470
537764 888228 525
469841 792350 509
165193 441500 449
757034 87764 509
470124 324914 449
936987 275856 525
373743 346491 410
322227 148365 443
709859 281936 509
151432 452551 449
316437 899228 525
153275 975407 525
901474 276121 525
468858 794395 509
36029 661237 509
908235 573793 525
65818 894428 525
366143 231011 441
335928 639529 509
318776 322404 371
964443 255763 525
114613 854538 525
118606 436840 449
2904 344818 443
235128 670688 509
797369 67917 509
569917 466996 470
43324 987743 525
259470 512183 470
298490 295499 327
689772 206725 509
385644 755590 509
617505 268139 470
502954 469786 426
907669 338082 525
308542 388464 441
110197 939507 525
759355 228804 509
376348 278611 441
573622 127828 470
949299 887343 507
195746 35568 383
354340 755422 509
23311 613810 470
267605 321801 407
425661 473730 444
44878 811305 509
229320 178736 386
79444 248626 443
648522 503465 509
586708 473416 470
408282 213258 443
412924 167637 449
442062 305624 449
962600 532036 525
433452 911899 525
419379 145550 449
947468 290071 525
900973 487131 525
903881 684930 525
808933 845894 525
158660 370163 443
657199 387981 509
548899 252996 470
152959 713773 509
272813 739668 509
187190 681095 509
952926 116466 525
365084 911340 525
422090 327684 449
443376 855542 525
755936 379107 509
517445 219756 470
669179 418418 509
706887 89412 509
103348 32172 351
451659 262009 449
402336 625210 470
166342 467587 449
878206 319301 525
697713 667372 442
575321 401255 470
864819 44599 525
517721 229904 470
955939 939811 414
73940 915667 525
311705 346228 441
811127 829150 450
565984 996658 525
763920 789224 468
602422 867269 525
