==789== Memcheck, a memory error detector
==789== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==789== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==789== Command: RunCollatz.c++.app
==789== 
1 999999 476
999999 1 476
1 1 1
999999 999999 259
1 500000 449
500001 999999 476
1 10 20
1 10 20
246649 383590 441
267692 850859 470
792922 733293 468
286060 335164 389
68097 4013 340
651144 248765 470
568869 871873 468
314063 368772 441
733297 467583 470
621411 781658 468
861570 160651 470
863303 999577 476
580177 820965 468
397512 707711 470
283106 106404 443
273978 571186 470
948272 666722 476
810165 736135 468
100957 696668 470
420038 72098 449
566483 714795 447
663148 555513 447
515920 823399 468
211251 984176 476
518307 818128 468
593017 633050 447
310302 611188 470
527020 311482 470
984810 80337 476
420537 998610 476
46020 697734 470
142690 661995 470
635784 500451 470
274968 214855 443
463993 36923 449
967288 341244 476
416600 882513 470
761993 548829 447
611119 193679 470
320575 315798 353
204269 989995 476
651501 539668 452
285373 154884 443
145640 14470 375
893439 831552 432
236111 247464 368
78956 189259 383
179005 374029 443
429239 290416 449
800186 460365 470
582817 131271 470
79537 106728 354
955429 837828 476
876710 712367 468
977153 839185 476
598181 223449 470
710231 603785 447
122768 952409 476
334787 316962 384
548239 13342 470
750740 69789 470
969977 97898 476
415541 872567 470
66506 609502 470
534314 747143 452
908242 984824 476
286336 802772 470
612597 795579 468
743860 900254 468
615041 832629 468
895090 60540 470
803974 291 470
224131 702743 470
551847 862268 468
626445 571173 447
978422 18552 476
475327 891409 470
493209 583602 470
884737 735570 468
330540 669475 470
276387 575928 470
14681 707957 470
884041 612373 468
460966 460700 276
630725 553146 447
788518 95994 470
767385 344957 470
329002 962765 476
942419 840203 476
830691 76078 470
95748 330540 443
632279 670519 429
795398 159342 470
756867 25206 470
597942 756370 447
122385 984402 476
865067 820 470
109701 752691 470
406639 485124 449
327678 265514 389
121028 197739 383
143220 278299 443
135139 459366 449
909458 864424 432
97890 956924 476
421176 509510 444
327982 313520 384
526099 180209 470
578315 936613 476
51511 148087 375
467397 219448 449
79045 692398 470
842127 493926 470
852916 827018 419
538379 673276 452
547010 360902 470
197439 510147 449
259157 76559 443
901996 299887 470
657967 599378 447
556124 191713 470
14168 314595 443
494364 581099 470
719771 886509 468
888596 239845 470
667877 627167 429
139863 512722 470
552125 813905 468
