==4710== Memcheck, a memory error detector
==4710== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==4710== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==4710== Command: RunCollatz.c++.app
==4710== 
303276 279872 398
141528 904190 525
355681 766611 470
429699 678893 470
312970 776994 470
673146 594877 447
560349 503223 470
118951 571521 470
951164 554717 525
254098 530388 470
506110 578836 470
63344 347433 443
712979 987641 525
620397 224556 470
673821 156201 470
472313 787660 470
952644 18806 525
770179 212960 470
786549 388281 470
648841 820309 468
53248 843906 525
107885 393601 443
195814 742837 470
570010 724636 447
861186 461089 525
627705 976978 525
960342 692493 525
541648 170487 470
757865 489946 470
912548 388676 525
307763 34270 443
151432 189521 383
23719 869378 525
603070 761748 447
539034 109987 470
957339 440295 525
203490 14578 383
188209 892907 525
310554 156523 443
728998 56260 470
415576 24898 449
483364 764314 470
317256 20127 443
554136 59309 470
957414 204423 525
972619 435879 525
398633 695583 470
58596 239319 443
690725 924212 525
13558 190308 383
133489 384617 443
273920 804650 470
979937 567133 525
635174 311146 470
300717 838051 525
951649 621185 525
300879 80624 443
242157 502839 449
425581 171601 449
965154 331485 525
484644 267034 449
965396 419671 525
650260 45334 470
221681 231948 443
723036 954308 525
681459 662941 398
19745 931350 525
807218 302116 470
456375 376399 449
531808 700543 452
477706 290135 449
591238 581975 434
858100 610209 525
641133 992516 525
450409 817053 470
622652 753412 442
888362 148216 525
280744 624549 470
506160 949233 525
710265 322304 470
300745 188896 443
560640 363630 470
396004 438625 449
783242 734353 468
257857 904209 525
455237 349756 449
336043 462481 449
989648 739070 525
779086 198269 470
586912 675596 447
836569 530165 468
699917 874308 525
385822 246005 441
650393 92627 470
56998 134683 354
534813 828291 468
672716 949346 525
923511 652175 525
36179 894467 525
64639 770743 470
669103 143035 470
43194 993353 525
533018 165631 470
580963 172034 470
66110 144957 375
137033 727405 470
793038 298082 470
271287 963606 525
302506 553955 470
193106 907007 525
19368 923336 525
37079 984666 525
807289 382268 470
967831 941209 423
565947 179673 470
677172 547756 447
338323 654995 470
855176 164251 525
6406 938175 525
311843 541365 470
268916 530334 470
513272 367632 470
590591 809341 468
599511 547905 434
650726 441607 470
672763 912063 525
6668 244398 443
422218 933016 525
160448 385046 443
756912 911140 525
739997 942978 525
89556 468573 449
127487 859734 525
29110 523128 470
704310 661148 442
245267 945235 525
980399 363779 525
984762 537831 525
329116 930410 525
252822 690765 470
340867 853423 525
236019 817697 470
601799 435555 470
459517 132859 449
864871 628890 525
662739 388098 470
80581 435559 449
178763 318518 443
384418 630977 470
457181 461611 444
533970 412002 470
761795 855882 525
850069 245537 525
67405 140967 354
347202 172070 443
652224 776594 468
136321 528423 470
822741 835834 419
38649 314110 443
625676 284276 470
917582 160852 525
265152 732395 470
367156 801161 470
157636 192601 370
51648 396643 443
321966 46454 443
852057 319511 525
148927 75078 375
85129 947454 525
196331 883144 525
913836 513162 525
695295 940636 525
301728 499230 449
954044 545948 525
813784 122803 470
82704 983195 525
750483 754495 424
317121 1851 443
494067 310972 449
66390 233430 443
938566 191632 525
799603 573826 468
960025 394996 525
751834 13010 470
543362 829375 468
6077 839456 525
817355 58067 470
19895 983131 525
938245 128168 525
268027 641601 470
381185 449703 449
995683 792248 525
93439 793928 470
539579 55382 470
213422 773892 470
431741 103444 449
612833 329157 470
742646 906799 525
901180 619217 525
182311 768961 470
325880 735712 470
767923 756332 468
205573 339340 443
982455 269547 525
70739 726420 470
795348 569152 468
242903 485578 449
865582 840298 428
362127 459451 449
706649 836599 468
