==18610== Memcheck, a memory error detector
==18610== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==18610== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==18610== Command: ./RunCollatz.c++.app
==18610== 
577657 320336 470
320389 628413 509
291956 889691 525
97274 532690 470
609026 616699 447
945545 760601 525
852716 150432 525
987921 496707 525
633888 916856 525
896411 86907 525
252445 459364 449
929327 276458 525
418865 944512 525
885717 213055 525
471103 167213 449
78858 334133 443
138747 817059 509
903311 3557 525
401078 590326 470
628535 890366 525
955355 797203 525
58862 880341 525
551460 287343 470
643717 254896 509
270209 349200 441
561081 175187 470
404629 841738 525
904890 464005 525
277221 30479 443
335611 194955 443
904760 227911 525
273844 804350 509
607174 964451 525
358986 668882 509
349038 98050 443
921122 115971 525
784182 640947 504
925700 654379 525
253720 160133 443
775768 477039 509
784037 247811 509
730453 580465 509
912017 804816 525
660025 672606 442
288663 915582 525
539379 906404 525
542190 708287 509
349749 87057 443
858704 861397 370
35719 656293 509
400612 623156 470
696555 971941 525
881402 661515 525
726237 427259 509
153995 300534 443
229038 47739 386
354747 805098 509
148940 955494 525
260913 826259 509
361069 217409 443
476356 275144 449
140937 552297 470
96796 151936 375
163828 589585 470
270824 101773 443
185197 394543 443
229841 241280 443
389280 52771 443
365494 436452 449
962286 671468 525
674467 308995 509
487872 309431 449
547696 214176 470
224339 117999 386
530257 372731 470
637332 585292 509
596594 902713 525
378280 102062 443
467096 906273 525
282639 148195 443
916406 583817 525
599670 613305 403
477093 777623 509
149159 768028 509
824252 247429 509
988288 831154 525
237985 350325 441
597540 275599 470
694754 993291 525
32896 844053 525
722829 139440 509
813532 318731 509
171021 534204 470
163205 22262 383
766913 942186 525
929292 348942 525
914772 102506 525
65738 52853 335
423310 724209 509
24829 301468 443
621759 517097 452
271508 243535 407
442350 24270 449
111609 910649 525
500492 324994 449
955312 368230 525
423418 279483 449
842922 11904 525
251544 355855 441
279350 936536 525
681035 466467 509
885581 312442 525
97254 177350 383
186093 403666 443
355781 656466 509
341029 269831 407
596910 145993 470
891299 705551 525
716705 532216 509
966143 538408 525
453809 866378 525
842965 295035 525
671014 294061 509
434824 177390 449
830142 372179 509
488399 788420 509
812131 103343 509
893609 629304 525
24730 117860 354
171473 711712 509
154840 355066 443
288533 536396 470
107922 909861 525
317395 560297 470
698702 878525 525
766597 420281 509
634652 376467 509
408868 384748 436
592562 702557 509
801110 298258 509
870109 368194 525
272310 756028 509
719683 649411 504
79788 798695 509
413255 116601 449
514185 75853 470
294231 548286 470
253062 750152 509
496655 268888 449
147138 809351 509
841648 544691 525
66740 679467 509
