==29308== Memcheck, a memory error detector
==29308== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==29308== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==29308== Command: ./RunCollatz.c++.app
==29308== 
930887 289384 525
636916 692778 442
238336 747794 509
760493 885387 525
641422 516650 509
490028 202363 449
520060 368691 470
513927 897764 525
383427 180541 443
455737 89173 449
595369 5212 470
956430 702568 525
21531 465783 449
665124 722863 504
703136 174068 509
979803 513930 525
723059 634023 504
898168 133070 525
18457 961394 525
478043 175012 449
377374 176230 443
544920 484422 470
898538 413785 525
594325 575199 434
664371 798316 504
803527 566414 509
268981 776092 509
241874 759957 509
999171 806863 525
497282 906997 525
420926 702306 509
336328 477085 449
126506 660337 509
621730 750847 509
925858 661314 525
353896 616125 470
100546 819583 509
233368 898815 525
990365 515435 525
313751 344044 384
426809 171088 449
947179 117277 525
393585 695789 509
502652 705404 509
612400 392755 470
95061 999933 525
993369 549677 525
210013 947740 525
698587 636227 442
297540 348095 441
480571 140796 449
960379 651435 525
66602 97468 351
612903 710098 509
570493 573318 372
260757 926653 525
560281 997302 525
209442 724287 509
429690 953866 525
346620 228445 443
744730 558441 509
108118 958032 525
905772 738098 525
890676 834482 525
698928 120710 509
777857 704568 504
872354 179498 525
276966 254587 407
964684 455307 525
28625 406220 443
332872 51529 443
48830 805733 509
530020 409504 470
363369 258271 441
486716 959709 525
518150 226341 470
700724 747797 504
2246 142619 375
493452 122847 449
243556 892922 525
597489 192380 470
888229 537765 525
792351 469842 509
441501 165194 449
87765 757035 509
324915 470125 449
275857 936988 525
346492 373744 410
148366 322228 443
281937 709860 509
452552 151433 449
899229 316438 525
975408 153276 525
276122 901475 525
794396 468859 509
661238 36030 509
573794 908236 525
894429 65819 525
231012 366144 441
639530 335929 509
322405 318777 371
255764 964444 525
854539 114614 525
436841 118607 449
344819 2905 443
670689 235129 509
67918 797370 509
466997 569918 470
987744 43325 525
512184 259471 470
295500 298491 327
206726 689773 509
755591 385645 509
268140 617506 470
469787 502955 426
338083 907670 525
388465 308543 441
939508 110198 525
228805 759356 509
278612 376349 441
127829 573623 470
887344 949300 507
35569 195747 383
755423 354341 509
613811 23312 470
321802 267606 407
473731 425662 444
811306 44879 509
178737 229321 386
248627 79445 443
503466 648523 509
473417 586709 470
213259 408283 443
167638 412925 449
305625 442063 449
532037 962601 525
911900 433453 525
145551 419380 449
290072 947469 525
487132 900974 525
684931 903882 525
845895 808934 525
370164 158661 443
387982 657200 509
252997 548900 470
713774 152960 509
739669 272814 509
681096 187191 509
116467 952927 525
911341 365085 525
327685 422091 449
855543 443377 525
379108 755937 509
219757 517446 470
418419 669180 509
89413 706888 509
32173 103349 351
262010 451660 449
625211 402337 470
467588 166343 449
319302 878207 525
667373 697714 442
401256 575322 470
44600 864820 525
229905 517722 470
939812 955940 414
915668 73941 525
346229 311706 441
829151 811128 450
996659 565985 525
789225 763921 468
867270 602423 525
54082 821397 509
740085 645631 504
811973 679293 504
73851 207673 383
905386 647626 525
739300 741223 393
606043 306641 470
340714 783899 509
256191 352299 441
942591 280525 525
108582 688210 509
499337 288820 449
371156 937733 525
218005 495995 449
614770 160380 470
981777 85274 525
247256 668851 509
348143 721861 509
445885 575580 470
223206 421994 449
679568 867622 525
690614 962505 525
262755 801962 509
154260 31327 375
828203 518945 509
723507 613203 509
902022 936785 476
390869 222843 443
235190 789529 509
949909 608873 525
210499 849959 525
518809 448037 470
686249 457754 509
33334 383304 443
321649 132134 443
999755 772891 525
251747 517568 470
319530 690369 509
238047 514501 470
549798 473789 470
86991 66250 351
3034 273304 443
12498 505364 449
294893 910254 525
519126 247687 470
613997 761153 509
209189 245976 443
703730 649158 442
32461 895437 525
543922 253415 470
26305 870461 525
388028 60029 443
266749 278051 407
308903 707557 509
697698 504795 509
571044 858700 525
132003 301040 443
806404 90429 509
682 144501 375
908539 617648 525
895152 36160 525
282135 522536 470
171693 104340 383
516128 502216 470
755630 720505 424
590965 60050 470
636430 298286 509
576336 495344 470
202901 903178 525
407972 885239 525
260290 416950 449
717989 495368 509
585796 392293 470
53145 40744 340
658391 102830 509
655341 961683 525
570 553542 470
174233 453827 449
956043 172262 525
409118 690361 509
266762 228024 443
526310 82 470
495426 903191 525
806368 618997 509
504235 214678 449
631627 730691 504
226058 764525 509
673169 349615 509
390359 328206 441
947387 726313 525
204347 565101 470
634995 602727 509
56553 204917 383
893530 325579 525
532291 528947 346
756971 302648 509
819081 799052 450
218594 799632 509
418628 830858 509
561887 541313 452
788356 439215 509
720091 193513 509
59480 14413 340
858970 909611 445
152275 966190 525
47642 806356 509
925434 356621 525
77889 198988 383
524567 498339 470
27285 487771 449
790418 56857 509
372261 300607 441
100238 125850 354
473060 107206 449
648519 35218 509
990784 34946 525
228459 436874 449
967638 710874 525
620484 804290 509
770479 826608 468
149315 772758 509
645730 334472 509
533460 591101 452
89439 723619 509
211389 58026 383
631234 633075 385
933682 518158 525
160359 3494 383
110700 550271 470
101840 633418 509
668364 275570 509
228795 92623 386
319848 413174 449
217463 196432 386
539391 456683 470
745792 504293 509
355116 205058 443
796158 391522 509
631492 888575 525
462952 401948 449
35022 359232 443
393741 610538 470
614031 485055 470
35326 554099 470
187517 241082 443
33003 653517 509
746140 372232 509
785405 261797 509
974581 582339 525
39022 519219 470
539863 513971 439
235380 784813 509
692686 894978 525
299905 31537 443
433484 324177 449
199760 279208 443
889745 984858 507
469912 593500 470
663951 20128 509
777561 505237 509
675106 367819 509
740050 810564 468
588712 421245 470
519935 41806 470
77376 563292 470
593615 558956 434
343769 133590 443
544919 828994 509
376883 552806 470
876983 844823 432
124031 326718 443
311575 593094 470
186594 530127 470
550254 781487 509
803075 850544 525
734714 327815 509
138378 478180 449
415776 474763 444
32920 727089 509
806733 935711 525
11018 110295 354
760236 400347 509
745692 871138 525
423944 305154 449
666329 122574 509
449292 300926 449
894019 306711 525
836837 277218 509
575056 596964 434
963859 387091 525
714905 378131 509
372662 698572 509
689686 369634 509
613074 304790 470
756852 722605 424
349251 419806 449
336504 767869 509
639007 109486 509
414640 82196 449
721121 62950 509
880227 80968 525
387678 686764 509
963982 290597 525
887561 740866 525
127956 539037 470
433519 367771 449
66343 359212 443
245197 322533 407
627322 272380 509
994985 858271 507
794428 384173 509
152041 344235 443
970073 647284 525
245831 307399 407
370348 901064 525
982031 966951 458
653715 250574 509
57523 886060 525
626925 134048 509
189436 945083 525
829205 271233 509
630444 622955 509
945487 411899 525
684279 875641 525
250263 89160 443
989684 679263 525
539849 561042 452
208325 141724 383
449123 26273 449
927336 454155 525
937458 335822 525
102748 909366 525
311777 591172 470
725219 160270 509
621704 938702 525
209934 914654 525
53960 450908 449
862807 356729 525
748721 515798 509
121309 547085 470
742699 515335 509
76377 110992 354
252716 798899 509
825172 801053 450
771560 218190 509
554011 752507 509
178225 709017 509
816540 173110 509
333379 490001 449
945054 58110 525
489115 955082 525
405990 671339 509
28068 59427 340
575224 785148 509
332232 776788 509
292123 696533 509
323876 591282 470
390180 884851 525
202255 576591 470
311132 215351 443
967858 973814 458
199182 381495 443
554604 146082 470
152434 15721 375
590182 887983 525
359416 97488 443
768826 79297 509
138723 765405 509
550552 796893 509
90033 230298 386
443182 399135 449
990416 898507 507
299709 767058 509
860000 380596 525
112298 501963 449
475777 687484 509
68978 80155 351
742588 191310 509
723383 139933 509
544267 895022 525
508861 313564 449
909212 903683 445
669087 277686 509
590931 564286 434
794584 735991 468
651477 197315 509
95821 754117 509
37526 641893 509
538840 395529 470
897491 897526 326
101361 651137 509
247644 889619 525
80929 170338 383
826622 506583 509
917956 804311 525
634226 370889 509
274571 426816 449
220854 543438 470
107723 460009 449
712351 811784 468
9098 418658 449
689127 363828 509
522072 621270 452
533150 726652 509
140529 60911 354
228399 430640 449
836611 241889 509
928578 992394 507
498977 433891 444
754553 755200 318
126088 416932 449
360100 388778 423
448567 400658 449
377018 580953 470
392736 72642 443
491299 89369 449
453196 918185 525
55806 696777 509
423429 975267 525
552529 588955 434
19594 80309 351
322198 297279 384
289673 372556 441
806446 250775 509
522326 305001 470
238284 560998 470
466128 648413 509
565422 598383 434
179335 914694 525
987335 942440 458
548160 88422 470
522958 994986 525
691762 1355 509
492973 578763 470
167717 631542 509
711851 561853 509
375483 703663 509
76218 550400 470
801174 665155 504
486507 399016 449
476365 839852 525
488264 724791 509
323173 942492 525
373538 570038 470
28829 18860 308
107281 360872 443
355857 576988 470
578342 146591 470
725353 563971 509
195512 587666 470
149518 893070 525
113084 907362 525
974113 41352 525
706507 189301 509
104668 291639 443
131490 709365 509
434155 581033 470
39876 136105 354
706142 273680 509
292539 413413 449
290637 734970 509
311957 916171 525
62761 162845 383
726815 406650 509
994315 304466 525
713887 922327 525
346040 660184 509
701536 826970 504
532622 320153 470
611791 924394 525
150110 637290 509
734674 259632 509
395736 584265 470
374296 774549 509
704314 101878 509
353199 666834 509
99356 994950 525
157794 665156 509
588157 678469 509
982934 400961 525
323287 98824 443
275359 213172 443
40141 185678 383
22182 493246 449
933991 572762 525
210051 150324 383
409955 84101 443
668365 461076 509
235625 322043 407
423920 42660 449
225845 456290 449
451239 293470 449
474977 841552 525
520020 125384 470
526344 63134 470
161957 19305 383
232476 365982 441
68012 953667 525
446913 788968 509
361730 90193 443
756869 380903 509
465003 88132 449
549208 683175 509
5217 649719 509
692378 301184 509
757473 945488 525
238958 434574 449
276126 725063 509
366798 713934 509
293419 312497 384
848154 893142 445
775475 971727 525
925394 596981 525
385949 843486 525
450031 372306 449
269560 264030 345
352161 206899 443
406425 734563 509
384281 417720 449
718903 411642 509
873481 593011 525
27584 992727 525
234141 628790 509
342724 303709 384
132558 600939 470
10432 152494 375
124221 980711 525
577691 785906 509
629392 49614 509
938271 963639 507
227668 79422 386
802672 207830 509
458744 96181 449
513900 209096 470
137089 843025 525
952387 749155 525
258233 10570 443
155711 979970 525
800031 492374 509
609664 498434 470
167280 932588 525
429650 620095 470
922352 291500 525
857465 7340 525
487331 551743 470
147516 312087 443
519916 231350 470
843882 950187 507
675635 495012 509
854388 874134 432
623288 812723 509
339644 806774 509
786743 881520 525
890245 495355 525
510140 103125 449
552064 16260 470
636354 677419 442
485270 981713 525
505405 558706 470
626800 342734 509
654820 992735 525
740436 774316 468
240854 691088 509
702451 100670 509
974803 916488 507
245563 556838 470
363611 598090 470
995961 585206 525
596912 666705 509
769830 402558 509
418817 623404 470
300822 321893 384
303606 571523 470
646580 302444 509
161529 325362 443
834448 273379 509
564046 332701 470
23788 574883 470
675552 804900 504
721387 242590 509
799427 650354 504
764795 966949 525
68507 163037 383
346093 277108 441
679665 665418 398
288821 115922 443
954167 98481 525
186355 105995 383
408438 774124 509
99485 832934 509
106313 86318 354
419018 933932 525
25166 186710 383
991609 959157 458
201746 217070 386
867423 712996 525
196296 1172 383
680560 148570 509
425677 264802 449
446572 26653 449
658926 105341 509
720173 251744 509
874090 613092 525
903567 906528 445
255813 798879 509
885197 3051 525
453334 362125 449
65187 304214 443
263371 478500 449
695569 56795 509
286142 465116 449
982640 79343 525
744264 482438 509
263591 663199 509
206203 169940 365
791632 226514 509
478258 865129 525
994572 511805 525
934684 352347 525
151226 898139 525
417541 190496 449
68973 36422 340
340635 387227 441
865726 134159 525
190953 120357 383
585473 77646 470
673340 993447 525
475884 568112 470
747662 417604 509
587543 255826 470
482340 470217 413
335345 379175 441
407331 960597 525
829295 846268 525
260758 342014 407
48861 980520 525
533293 194651 470
581877 117833 470
251991 390280 441
510636 963954 525
41599 959296 525
952742 96108 525
180571 714938 509
132541 944977 525
200802 444585 449
914801 720084 525
615610 199493 470
676441 766497 504
612764 22940 470
881305 505736 525
2607 389874 443
584524 930165 525
564350 52252 470
442531 682752 509
646705 816340 504
291987 953166 525
565626 688303 509
919592 761080 525
222408 262548 443
707132 568485 509
804920 939562 525
139054 621932 470
388428 420529 449
959820 815495 525
837582 517544 509
423769 841124 525
287640 840188 525
892439 524644 525
207395 851989 525
184681 851321 525
804487 854099 525
58753 993019 525
754099 886464 525
149011 494696 449
63180 976506 525
916067 856143 476
994426 868099 507
804979 571473 509
386967 382854 348
416749 764798 509
122273 224548 386
581087 840517 525
365160 409913 436
261901 989878 525
841198 572554 525
943004 962933 414
955952 162036 525
48499 518108 470
529155 710050 509
202907 713862 509
570004 592335 434
976785 635326 525
206798 564429 470
463634 781764 509
546561 110116 470
851015 880382 432
720898 185186 509
595098 432101 470
938330 602409 525
691314 373350 509
852635 295880 525
457915 634317 509
668776 808586 504
34987 22766 311
736627 197931 509
306617 237893 407
389570 306630 441
387410 799753 509
581516 596367 434
222834 367396 443
247777 644429 509
829614 73848 509
22301 485027 449
603787 941063 525
830764 960630 525
256509 295101 407
929417 683398 525
491983 230776 449
253541 114545 443
828827 43321 509
797566 506519 509
329500 651795 509
451547 187135 449
299854 716909 509
84304 33063 351
193843 522687 470
596535 848433 525
849811 539808 525
480870 618835 470
95816 453597 449
748697 827985 468
511383 352325 449
99452 194466 383
825362 519717 509
563038 869344 525
375862 654188 509
305982 360603 441
64089 705361 509
938621 273880 525
823294 363942 509
886629 22925 525
387709 17136 443
556943 483163 470
101997 753871 509
207467 554164 470
898501 197812 525
66488 472516 449
183333 926235 525
445951 682291 509
551634 8694 470
662881 525340 509
402294 927495 525
632855 485214 509
275445 466383 449
830324 571476 509
110752 98739 354
115874 716952 509
716466 14812 509
768682 189169 509
259684 334814 407
48978 492500 449
965015 674536 525
600770 115465 470
314108 148347 443
673392 563073 509
88412 865741 525
309588 852624 525
337837 7058 443
473440 458794 444
546621 613282 452
228372 820115 509
53419 657372 509
188535 860597 525
49765 769884 509
104698 473568 449
966068 825801 525
500336 153675 449
785491 447434 509
112133 617458 470
180530 615950 470
481691 785524 509
638148 785293 504
792350 307630 509
766423 492336 509
621969 782141 509
602256 313044 470
486767 850340 525
710937 172026 509
458261 191654 449
665221 277053 509
619205 562958 447
232984 631288 509
78722 119541 354
736998 534827 509
667128 707206 504
492729 433879 444
219171 665170 509
972799 647228 525
139564 11521 354
793661 739222 468
568617 277884 470
128224 912268 525
84293 55383 351
247036 355512 441
632564 542554 509
621863 428609 470
59896 251769 443
887661 371199 525
422377 654969 509
362174 141010 443
574888 89504 470
754674 371255 509
18482 794058 509
321930 243824 407
983045 674397 525
952281 631943 525
544210 68013 470
639748 596856 509
952367 144855 525
203760 403135 443
831743 101282 509
869402 341974 525
713172 891639 525
62959 273414 443
414423 651900 509
257756 941485 525
829091 505662 509
816072 528781 509
772604 363924 509
38321 138001 354
769943 272001 509
340013 506953 449
103808 830505 509
975359 979760 383
382895 572526 470
190159 179118 365
521091 214637 470
622627 59561 470
332974 750615 509
918866 201938 525
143422 263749 443
769410 176621 509
705401 488864 509
852787 101833 525
239834 478005 449
266357 407459 441
914411 526128 525
356632 606369 470
586129 534570 452
623447 848342 525
27459 485375 449
700011 813606 504
873166 64902 525
331868 838990 525
40927 722491 509
986239 250733 525
943706 700700 525
189563 272001 443
373833 165458 443
643462 42349 509
449808 130018 449
172498 426170 449
32539 880570 525
415140 529129 470
377471 135019 443
620393 38586 470
368543 921281 525
502534 836755 509
675744 241708 509
480551 834401 509
601486 233022 470
933721 466789 525
255141 545191 470
710648 639635 504
681984 145326 509
791695 870462 525
296631 648143 509
45064 964192 525
493321 845521 525
980539 976555 383
531493 387143 470
308423 600931 470
437686 900035 525
658095 327309 509
161709 629781 509
862803 138645 525
121785 279546 443
341088 796523 509
436158 376926 449
38603 51736 314
438549 634493 509
798987 830297 450
310841 251531 407
97052 844050 525
336957 320513 384
707655 77590 509
194873 868449 525
768483 532429 509
376089 632558 509
262338 426577 449
565221 537798 452
333695 125140 443
438015 687006 509
580283 674783 509
242870 390524 441
25016 135237 354
481885 681418 509
449300 340354 449
700755 792725 504
113237 546351 470
140293 37711 354
906159 337243 525
386024 335165 441
967722 674642 525
617570 762112 509
816261 746411 468
387903 182791 443
386148 149956 443
341090 825917 509
216440 482782 449
618018 583959 447
265376 757807 509
614512 99902 470
408979 714675 509
777378 315266 509
352977 38567 443
892162 917670 476
252834 259135 363
==29308== 
==29308== HEAP SUMMARY:
==29308==     in use at exit: 122,880 bytes in 6 blocks
==29308==   total heap usage: 6 allocs, 0 frees, 122,880 bytes allocated
==29308== 
==29308== LEAK SUMMARY:
==29308==    definitely lost: 0 bytes in 0 blocks
==29308==    indirectly lost: 0 bytes in 0 blocks
==29308==      possibly lost: 0 bytes in 0 blocks
==29308==    still reachable: 122,880 bytes in 6 blocks
==29308==         suppressed: 0 bytes in 0 blocks
==29308== Rerun with --leak-check=full to see details of leaked memory
==29308== 
==29308== For counts of detected and suppressed errors, rerun with: -v
==29308== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 4 from 4)
