==4895== Memcheck, a memory error detector
==4895== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==4895== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==4895== Command: RunCollatz.c++.app
==4895== 
1 10 20
100 200 125
201 210 89
900 1000 174
1 999999 525
1 1 1
999999 999999 259
397763 519965 470
447589 156557 449
370564 603294 470
769773 796237 468
35888 816924 509
448323 374173 449
679382 242121 509
695098 575469 509
871662 309821 525
262488 579776 470
415741 283406 449
344139 56941 443
10771 241848 443
949460 334289 525
159454 770926 509
516010 428489 470
200223 265163 443
674034 329799 509
858807 812654 525
489944 892691 525
91554 74686 351
938990 464912 525
278673 442215 449
947470 43608 525
952187 31361 525
365092 396678 436
627474 262457 509
398510 824690 509
200955 299313 443
866567 992720 507
161390 985311 525
350219 61610 443
404967 910201 525
304442 758104 509
586878 511838 470
865489 534535 525
7900 806037 509
484814 739876 509
978601 572376 525
16531 255351 443
233869 68018 443
175193 734483 509
908862 854525 445
602863 140953 470
263593 241585 407
674031 263414 509
835492 799841 450
892896 653733 525
500376 530123 470
931840 605961 525
626344 611816 447
335456 903225 525
848995 413071 525
313230 519821 470
498166 568861 470
415800 482816 444
666803 966854 525
250440 30467 443
80611 494882 449
430437 178433 449
990065 769975 525
269640 740679 509
466791 644226 509
533545 261698 470
418253 296902 449
693670 136454 509
527912 54242 470
345899 837398 509
608730 1015 470
129399 133021 344
423345 287831 449
67915 156810 383
326615 166416 443
700902 929359 525
871809 606417 525
948103 631144 525
976585 42973 525
51500 125283 354
544896 499636 470
723075 494118 509
346051 688205 509
110319 106776 323
107405 545223 470
638328 280239 509
956680 492986 525
635509 569094 509
683058 815173 504
378620 259147 441
244679 955462 525
166275 322515 443
72569 829649 509
294057 627757 509
433924 962592 525
476118 110606 449
999576 923591 507
451309 295769 449
475032 351846 449
944957 7595 525
814791 338926 509
732142 718896 411
423247 624293 470
870929 991579 507
982963 272649 525
491991 217753 449
668271 605883 509
524754 112072 470
625355 76940 470
34244 788622 509
521240 67486 470
757408 360234 509
963703 999980 458
423942 478016 444
308359 978805 525
852179 222665 525
651432 357263 509
150355 262568 443
215220 514276 470
713015 405135 509
34058 388451 443
655757 683500 442
221468 435493 449
729255 666377 504
709718 165259 509
58669 112617 354
699737 355601 509
92868 279098 443
518405 441011 470
397900 930147 525
337260 761471 509
806675 95644 509
93023 377604 443
168590 673606 509
240093 777027 509
651121 873076 525
48177 886899 525
758059 366296 509
897145 976280 507
325043 229008 443
59293 391156 443
844059 610622 525
87291 982232 525
125022 340448 443
407180 808013 509
757150 167656 509
673093 48167 509
592319 16687 470
856062 996421 507
927525 413017 525
624909 218352 470
137449 937404 525
13761 132347 354
517024 953110 525
831061 131143 509
466185 15289 449
307584 798866 509
394661 342507 441
280530 126958 443
413351 641503 509
654003 244874 509
111482 567124 470
446894 192307 449
731899 734316 380
478196 293610 449
495999 436431 444
925929 952951 507
81706 895227 525
227442 45849 386
119419 92668 354
432090 818313 509
79516 647614 509
794174 279693 509
684161 803693 504
301908 292016 371
784890 675545 504
683203 589467 509
218878 267344 443
691620 269191 509
977801 524958 525
357522 483692 449
303266 707254 509
631542 58051 509
600414 194721 470
107739 504208 449
407657 694975 509
986583 310033 525
637245 765048 504
435129 257068 449
234117 125412 443
880085 107034 525
727698 186065 509
592164 194895 470
828138 606113 509
260482 466024 449
740427 814640 468
512074 933027 525
851189 126909 525
609112 365090 470
518992 26243 470
122679 112575 349
604218 239543 470
45814 244915 443
288480 644387 509
380080 91993 443
557224 227471 470
462984 88521 449
790025 447017 509
425888 100441 449
189851 160110 370
950982 690810 525
930948 300011 525
577194 538376 452
579263 172467 470
487187 443713 444
420778 564498 470
632157 687591 442
800091 147674 509
914181 171173 525
356375 286041 441
736197 221405 509
580993 809355 509
397316 661434 509
538394 864036 525
656990 364232 509
155985 267645 443
286475 300353 389
82262 781115 509
265892 456948 449
208037 363269 443
587596 801386 509
221304 548385 470
87878 149481 375
585308 687231 509
576368 47611 470
562196 994709 525
372408 36830 443
267270 994903 525
95612 920456 525
681119 793188 504
847528 462604 525
390697 418357 449
611983 653090 509
639555 200553 509
780616 604958 509
790126 974211 525
885960 414861 525
738403 657891 504
329738 516356 470
659179 76252 509
443076 268712 449
921067 133681 525
695082 741351 504
637838 578322 509
104772 598385 470
135954 566764 470
52517 721335 509
740002 131484 509
214254 4897 383
575215 908705 525
176071 623968 470
281473 760986 509
160746 358579 443
690869 436585 509
32482 48538 324
769047 642823 504
67693 193219 383
510605 759143 509
477402 352287 449
679694 141178 509
286162 722705 509
135502 684638 509
3486 268920 443
835419 193881 509
799204 384740 509
771996 653101 504
158065 859377 525
858597 569370 525
263800 969867 525
854426 411880 525
881446 82987 525
713613 31159 509
882999 288127 525
113834 620563 470
245598 960272 525
410234 311726 449
531150 940644 525
86331 778621 509
328595 317025 384
229518 425010 449
194923 161070 365
354167 210039 443
19967 53803 340
799831 270257 509
902364 57825 525
658575 779504 504
410269 922328 525
630096 275139 509
258973 642032 509
607386 106158 470
518132 539489 439
274160 465452 449
7084 415495 449
311878 853931 525
835495 287521 509
211816 163662 373
750241 135524 509
701225 578250 509
569879 714501 509
856905 19886 525
336037 402976 441
722869 588340 509
726325 576736 509
270467 634592 509
123792 570764 470
82762 583379 470
927399 259675 525
296073 396370 441
779939 852790 525
518886 157035 470
212630 849417 525
708816 869107 525
724511 577035 509
498424 976272 525
362898 893721 525
497141 159614 449
166848 18454 383
259218 762824 509
880803 341093 525
213438 535399 470
618713 654439 509
907644 298621 525
381485 787431 509
207288 294112 443
982733 13519 525
782436 948511 525
436670 192330 449
566208 838664 525
535207 69063 470
552372 658004 509
903800 435806 525
776990 594609 509
169687 135792 383
841724 255325 525
54742 773286 509
587980 145484 470
673226 925429 525
179022 798982 509
892572 851020 445
923476 3828 525
599524 851276 525
976553 821065 525
968095 86901 525
878423 110803 525
369245 939356 525
632397 111681 509
102766 269870 443
682730 27765 509
111285 284537 443
917869 662278 525
398748 92229 443
904026 840039 445
818709 353610 509
725699 265769 509
846827 265333 525
383120 162123 443
564228 470476 470
369341 34125 443
710167 342777 509
95888 330299 443
568130 43375 470
731413 398560 509
22588 27329 308
139547 179096 383
711493 203294 509
847358 632629 525
242724 336002 407
221237 372014 443
14605 90204 351
511226 275072 449
62897 785832 509
783617 287621 509
475238 718922 509
294153 730605 509
538531 767079 509
688840 517191 509
332730 739653 509
125051 487453 449
561351 174127 470
221656 174153 386
515472 405804 470
883431 817149 525
660349 942398 525
879497 390200 525
989925 325695 525
166708 273541 443
727076 638799 504
974107 670625 525
183013 866 383
516884 994378 525
803620 492144 509
14011 512604 470
256966 537345 470
786385 534145 509
878103 424049 525
947300 522582 525
300546 652558 509
439615 788753 509
484117 252344 449
199970 91706 383
747055 193895 509
672017 706387 504
124506 897010 525
562738 209340 470
476796 218514 449
150152 996137 525
751894 870116 525
137286 432194 449
227274 734442 509
54278 154616 375
370706 201247 443
429797 481390 444
944420 638675 525
764609 678915 504
247098 118290 443
371054 386060 423
243229 992424 525
878675 794853 525
447243 35258 449
788348 360725 509
705925 686263 504
508974 58795 449
133849 741236 509
451429 289246 449
586119 661154 509
305452 128204 443
762109 823730 468
608413 613024 359
891426 145062 525
796868 800261 375
954459 81868 525
349752 204580 443
24002 155128 375
20313 223765 386
503884 158446 449
619597 186443 470
81722 380043 443
16876 958994 525
46380 786288 509
936630 598391 525
707425 810798 468
237426 59815 443
453633 139779 449
719219 9242 509
238150 836243 509
252737 291307 407
255558 306374 407
538414 747033 509
918737 406763 525
620003 412830 470
26388 200504 383
62681 378012 443
557367 395308 470
749837 96194 509
823020 224457 509
390067 576373 470
271193 796276 509
385066 211860 443
57763 874249 525
275306 601898 470
643962 373575 509
298000 213478 443
145130 790338 509
423643 459297 418
575899 728245 509
740692 275994 509
983993 106657 525
627765 270887 509
806261 717847 468
887033 751229 525
728792 341582 509
501499 394524 449
708754 319799 509
121603 71165 354
690762 511390 509
360232 263999 441
666121 958351 525
958250 459976 525
251478 789534 509
162796 988434 525
944724 468138 525
958762 276803 525
243571 522768 470
193429 440681 449
134351 151719 375
593847 3876 470
891087 622962 525
71817 906645 525
520720 123229 470
959630 858093 507
934140 582137 525
720111 693543 504
434077 329816 449
614503 583046 434
967544 428125 525
628462 265187 509
517198 872384 525
265159 418997 449
179095 484494 449
313933 763907 509
163584 21402 383
380657 978812 525
892815 364676 525
313530 532388 470
524275 397544 470
922748 637775 525
917920 833140 525
225830 597650 470
586241 303340 470
644800 739120 504
61086 553630 470
56397 891435 525
884412 11659 525
270634 467369 449
376796 796931 509
113939 212850 383
419746 365068 449
943023 509285 525
658935 442932 509
370058 912626 525
859263 7807 525
120029 956716 525
241980 880390 525
128849 616972 470
191072 321274 443
685581 632954 442
474231 943778 525
32790 273504 443
875631 381823 525
635573 107002 509
166041 495929 449
393787 976084 525
527600 10617 470
13914 917156 525
804420 46548 509
701910 922244 525
518807 172197 470
559074 79472 470
864823 475337 525
103763 347846 443
670403 457998 509
929863 140405 525
239505 727177 509
838965 296792 525
575963 251505 470
901288 521763 525
158659 470743 449
28025 46889 324
437444 313343 449
426362 903961 525
907799 571859 525
734811 267840 509
73852 660608 509
646491 457764 509
319767 113716 443
334130 676685 509
835862 224340 509
579719 108885 470
284571 227413 443
500406 913738 525
520210 257748 470
581283 70910 470
490611 930086 525
22114 129230 354
873112 48408 525
560887 928073 525
627053 645251 416
839540 481262 525
1105 958610 525
833273 91956 509
489475 176929 449
285330 493200 449
183651 223896 386
644612 626156 416
925412 827429 525
463559 502541 426
493063 131007 449
496616 31813 449
723229 951311 525
306538 130 443
840328 586402 525
412251 837140 509
634916 116307 509
936991 990836 507
156377 655042 509
693836 701226 367
66433 535880 470
515639 255133 470
