==23858== Memcheck, a memory error detector
==23858== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==23858== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==23858== Command: RunCollatz
==23858== 
1 1 1
16808 75250 340
50074 43659 314
8931 11273 268
27545 50879 324
77924 37710 351
64441 38166 340
84493 43043 351
7988 22504 279
82328 31730 351
78841 42613 351
44304 33170 324
17710 97158 351
29561 70934 340
93100 80279 333
51817 95336 351
99098 7827 351
13513 29268 308
23811 77634 351
80980 79150 320
36580 58822 340
11968 10673 268
1394 19337 279
25486 91746 351
25229 94092 351
40195 86358 351
35002 21154 311
16709 57945 340
15669 71491 340
88125 2197 351
9531 60904 340
27723 54667 340
28550 18025 308
97802 6854 351
40978 47409 314
8229 74934 340
60299 38982 340
28636 8014 308
23866 89815 351
39064 54537 340
39426 1670 324
24116 20095 282
75630 46502 340
46518 34196 324
30106 10405 308
19452 94299 351
82189 21124 351
99506 46883 351
6753 31567 308
36717 30338 324
54439 53145 322
51502 44898 314
83872 55829 351
11138 19359 279
53178 82398 351
22295 77905 351
21610 46232 324
59746 44176 340
53636 66299 335
98143 80400 333
27969 90413 351
261 73558 340
41595 88009 351
16396 25969 282
19114 4531 279
71007 10963 340
97943 85366 333
42083 79853 351
30768 33822 285
85696 24713 351
73672 59902 335
48591 24832 324
14739 53058 340
31617 19791 308
55641 10680 340
37336 77007 340
97973 36099 351
49096 75320 340
83455 45224 351
12290 56761 340
48906 86127 351
36124 29507 324
45814 76771 340
35239 29095 311
96221 87845 333
12367 40535 324
25227 15395 282
41364 18739 324
7845 59591 340
36551 45160 314
8624 64948 340
97386 7218 351
95273 55540 351
99248 42386 351
13497 94886 351
40624 82421 351
28145 31969 285
35736 99916 351
61626 63535 330
46043 96012 351
54680 24153 340
75245 77296 351
78819 90397 333
87693 1816 351
12992 40034 324
22670 19398 274
89554 10548 351
75826 21211 340
29663 30212 272
33809 73378 340
22762 626 279
37336 1869 324
77996 2777 351
62768 97440 351
29875 89332 351
40557 56302 340
68873 561 340
20095 18985 274
13756 39790 324
51408 28016 324
30194 22770 308
15681 3456 276
16856 67507 340
70964 33503 340
86677 63109 351
63250 2332 340
77845 87639 338
60809 39998 340
28652 54850 340
45204 95732 351
96532 98015 297
95420 36776 351
42010 30181 324
87930 95224 333
44055 88261 351
76738 91546 351
47318 37526 314
4201 34257 311
21565 60598 340
6649 37705 324
25551 25151 264
41977 1413 324
38555 82798 351
2505 48382 324
34749 7066 311
59379 47700 340
78210 25130 351
78554 65484 351
50448 64608 340
80774 45323 351
64306 55177 335
70054 27225 340
84631 80367 320
5401 60445 340
95371 70286 351
83017 93899 333
8156 41134 324
15558 96577 351
53179 58267 322
87358 21712 351
27879 20615 308
74820 95738 351
83134 20592 351
23721 48763 324
6634 76198 340
76032 38589 340
60590 54874 322
98878 37305 351
79359 61201 351
77255 68961 351
14916 93948 351
45481 7731 324
69956 74547 325
37108 41239 306
40001 84927 351
45036 74858 340
61114 50115 340
29594 1361 308
98355 68419 351
25358 42586 324
13730 21016 279
76564 6103 340
60918 86644 351
19420 62968 340
47748 45270 314
55396 23304 340
4474 19104 279
11749 24386 282
5659 63460 340
45407 73931 340
39825 85133 351
974 59604 340
46898 7921 324
3951 35232 311
88481 20204 351
13901 24521 282
62534 81259 351
17004 18677 279
20951 23935 282
58781 79880 351
41833 82575 351
33550 74543 340
6250 52772 340
66311 15880 340
984 69971 340
92041 82724 333
73651 2972 340
53230 90319 351
17747 10300 279
87231 85622 333
70777 50125 340
68245 76959 325
47697 66772 340
29065 91561 351
56599 18752 340
69941 64504 312
89552 92802 333
