==26836== Memcheck, a memory error detector
==26836== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==26836== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==26836== Command: RunCollatz.c++.app
==26836== 
1 10 20
100 200 125
201 210 89
900 1000 174
1000 900 174
900000 1000000 476
37564 284875 443
780501 364443 470
922514 802128 476
495437 820148 470
446765 528422 470
830187 540784 468
778954 523198 468
696839 881397 468
16281 693383 470
958775 846522 476
517110 123304 470
94076 995898 476
62326 17356 340
842895 644643 468
776247 881797 468
123634 404694 443
484999 514420 470
952932 884782 476
593536 219500 470
710920 543002 452
622110 420279 470
855912 269030 470
258766 502400 449
111622 262313 443
156539 289074 443
225216 168032 386
732348 22401 470
625930 234445 470
909138 105152 470
701693 463179 470
83644 143431 375
955155 338321 476
599244 23069 470
669 740669 470
656651 851160 468
220276 80249 386
904799 599109 468
909405 513212 468
920073 194636 476
911938 348502 476
404125 627598 470
69528 395168 443
208811 358105 443
291443 52962 443
231390 945301 476
688963 406894 470
813906 351301 470
12261 450617 449
527782 817175 468
577907 834092 468
127953 556484 470
981594 207690 476
20433 766766 470
153358 317916 443
803045 620513 468
731517 499190 470
311117 964527 476
306758 101649 443
128238 430231 449
819237 696649 468
706768 537337 452
279251 609708 470
83611 159445 383
25997 444840 449
673820 412512 470
939112 784768 476
777920 625776 468
374155 178256 443
248437 559574 470
105861 858788 470
226892 445675 449
231970 378125 441
984636 743073 476
815604 483713 470
679190 725871 442
25629 120747 354
272344 149734 443
672127 397638 470
947074 279537 476
328042 717933 470
107423 503217 449
678277 52221 470
448794 605462 470
343939 500328 449
645692 529767 452
192156 877109 470
919751 118501 476
60798 44397 340
122976 888033 470
902669 107182 470
999438 369585 476
585142 393858 470
973212 926349 458
968946 348368 476
151221 243584 443
433722 76342 449
226648 880736 470
718179 307841 470
621968 373288 470
799136 966060 476
520164 376938 470
546398 364360 470
398561 257798 441
59400 293263 443
301740 349740 441
916719 904537 476
368340 823600 470
51007 351268 443
61120 742871 470
599603 600819 372
140480 416619 449
875010 701838 468
668678 602769 447
549640 56966 470
235363 463512 449
255651 929698 476
154538 429484 449
63412 496795 449
598956 290499 470
721080 246964 470
509972 897998 470
112944 421986 449
649229 838005 468
125679 498262 449
343102 313266 384
999291 414722 476
311657 259398 407
283540 367335 441
470951 412218 444
720780 510944 470
750819 642099 442
732611 835899 468
779855 376048 470
700450 820011 468
755139 339356 470
899052 195543 470
936288 166040 476
767212 316536 470
981794 650942 476
181337 163450 365
780111 546219 468
535261 980182 476
518824 841092 468
723614 902714 468
482295 406127 449
576279 709204 447
471469 731921 470
897875 998053 476
799140 246971 470
28950 683517 470
529769 360636 470
764455 687672 442
5012 944460 476
540327 103059 470
724462 438808 470
30396 902082 470
335651 151584 443
683576 477255 470
828200 601988 468
275206 910640 476
24063 954632 476
246631 891333 470
109129 687945 470
463542 626603 470
261036 645730 470
36291 925307 476
393845 531817 470
14354 871466 470
662307 725171 442
92290 151370 375
646780 16445 470
946015 149373 476
74413 496824 449
455874 385515 449
523032 366180 470
866974 732383 468
801260 869904 450
887408 119139 470
601675 922437 476
831457 107364 470
583437 230388 470
177556 806428 470
256584 889283 470
329750 85304 443
912306 495341 476
946555 933289 445
371802 787336 470
932602 123821 476
510904 713461 470
76120 43624 340
358481 604264 470
359266 663640 470
63682 825097 470
168510 148724 383
180432 880149 470
988719 529846 476
527123 445036 470
677284 195551 470
345310 216018 443
83589 698656 470
603250 781342 468
604285 519717 452
68466 943804 476
246325 980525 476
208083 53520 383
907368 458906 470
66501 946037 476
877127 420354 470
17046 23288 279
13428 552554 470
687550 863521 468
653190 465572 470
419389 501242 444
81234 3542 351
335332 179303 443
298769 202893 443
463615 942696 476
908613 327704 470
393982 917204 476
165617 214512 373
625990 495973 470
628517 366911 470
110726 943189 476
393310 854533 470
484122 116428 449
588501 91530 470
143393 107871 375
669004 996398 476
627680 609493 447
58135 868031 470
729827 718412 411
856149 552116 468
388249 716018 470
658897 117520 470
686212 78116 470
11687 314051 443
220384 603183 470
661071 540991 452
691350 81999 470
561279 920073 476
815868 374284 470
542173 337059 470
563916 106595 470
652070 992837 476
283224 460644 449
451452 87982 449
489726 682303 470
952551 753971 476
974501 8963 476
474982 239725 449
406053 686549 470
419025 663974 470
791370 627356 468
845893 351867 470
12 46032 324
798221 888578 450
52559 103385 351
494251 543122 470
28054 186358 383
885586 642372 468
254664 957359 476
581137 808268 468
913596 717320 476
808778 710472 468
308359 944172 476
911452 132240 476
829821 92125 470
855911 699000 468
82037 866977 470
369965 577201 470
724675 228831 470
618054 815176 468
334926 315970 384
775161 768346 437
995099 332292 476
465541 227787 449
371692 195559 443
795393 454232 470
767519 404882 470
627613 308822 470
577 153215 375
821892 67414 470
991631 184284 476
394922 307053 441
627087 273264 470
943148 461166 476
804513 496615 470
214429 254347 443
565282 648927 447
415212 248074 449
872088 263191 470
696227 155476 470
898680 695867 468
272427 416269 449
664980 649183 429
801831 762228 468
472812 320537 449
973144 149101 476
875786 92474 470
733442 482582 470
851470 306606 470
224935 24017 386
434791 200976 449
293744 225736 443
318661 532744 470
383844 16434 443
831181 756706 468
735746 233772 470
258313 885052 470
72208 984385 476
696747 314882 470
372204 200729 443
493757 977405 476
909566 559723 468
859151 136346 470
464166 229880 449
419017 43014 449
501212 621657 470
321751 441569 449
158151 429977 449
3946 610454 470
78897 778411 470
877047 224540 470
491515 201261 449
5224 827476 470
438228 532776 470
310754 114806 443
735513 512011 452
965268 545853 476
67289 57345 335
403543 25955 443
595612 716409 447
831070 530563 468
611016 755215 447
187489 578812 470
38562 714513 470
275004 406576 441
65859 31919 340
164247 537644 470
765779 505108 470
49626 206539 383
349259 954393 476
441983 747638 470
602554 432228 470
958506 632624 476
138476 722745 470
998111 311946 476
322626 676116 470
275119 395838 441
123292 130609 344
524846 996578 476
677654 789416 468
691818 246065 470
67129 439865 449
564613 101411 470
651112 329374 470
130941 556123 470
321108 345515 384
892350 285615 470
206141 886825 470
62 573119 470
685577 956481 476
351720 85759 443
46891 62754 340
723430 700381 411
763649 968120 476
602282 114893 470
162886 193206 365
631621 423256 470
201275 452227 449
484637 180873 449
175933 873334 470
541439 742040 452
458377 940319 476
960584 812225 476
759123 581354 447
608093 225341 470
5590 725966 470
835331 929818 476
647435 953204 476
281683 47133 443
91123 561962 470
718767 652630 442
9495 508675 449
450029 620805 470
472289 178119 449
932847 475895 476
200006 879804 470
99868 693474 470
756222 295449 470
322113 309901 384
162383 842298 470
78455 13842 351
244317 62533 443
174388 117727 383
1137 700794 470
787601 936883 476
424927 89853 449
708657 140205 470
493514 828703 470
892171 578643 468
508847 507864 364
837195 946372 476
559952 413455 470
375083 384428 423
652107 724586 442
158944 797715 470
962853 707891 476
520835 223663 470
760622 808510 468
391195 64469 443
753237 338619 470
659583 374710 470
21218 672583 470
696580 682270 442
234774 472080 449
753824 12913 470
553567 485062 470
612437 887421 468
464756 889136 470
159688 65169 383
827566 983022 476
539549 719074 452
561516 268936 470
144884 544287 470
740690 614290 447
997306 26598 476
337843 232863 407
995340 726430 476
499846 683584 470
102322 970413 476
29914 949328 476
792548 784920 406
702264 928662 476
977519 254581 476
141277 350195 443
193658 743675 470
259959 202227 443
48743 579418 470
671418 259626 470
796351 863577 450
62284 185396 383
435904 52433 449
248439 986118 476
920525 825044 476
521118 308506 470
895701 545849 468
935387 178519 476
888813 320075 470
393212 305034 441
22955 239004 443
729751 996799 476
137979 917076 476
524228 74418 470
667573 833912 468
25672 898368 470
743214 311728 470
409001 779558 470
774180 182259 470
558392 590704 434
187366 327176 443
712553 354779 470
101460 312115 443
600470 951095 476
