==29588== Memcheck, a memory error detector
==29588== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==29588== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==29588== Command: RunCollatz.c++.app
==29588== 
2059 6030 238
2217 874 182
9773 6871 260
4926 9706 262
1012 6808 262
9847 8705 260
2498 8460 262
9689 5363 262
3281 4135 238
2298 7749 262
4707 8006 262
3271 8591 262
341 1653 182
5940 2144 238
2909 7495 262
7599 7320 239
2658 7989 262
9822 3399 262
954 7958 262
9734 2559 262
190 1063 179
9325 1384 262
8746 7704 252
4871 80 238
7185 67 262
9549 8284 260
7374 7289 195
1453 5792 238
2933 2555 217
5994 8263 262
1783 1602 180
9763 8160 260
52 6971 262
5682 8597 262
1419 4947 238
2939 3001 173
8525 3450 262
1860 333 182
3152 2903 217
8883 9295 260
9695 8344 260
6802 7535 257
2399 9844 262
4352 9663 262
6428 2592 262
1586 3735 238
5170 4682 210
5815 9154 262
6727 7061 257
3129 777 217
7317 2369 262
5038 8202 262
4774 3446 238
5854 2053 238
3816 749 238
2080 9202 262
624 443 142
573 8466 262
2618 6763 262
9414 1120 262
8718 3047 262
1616 36 182
3743 1699 238
7997 2084 262
7342 710 262
5415 2599 238
7963 5829 262
5526 2776 238
9195 2958 262
7169 8131 252
9029 1262 262
6785 8367 257
758 1631 182
8368 9256 247
7316 6274 257
353 2903 209
4880 1093 238
1001 8289 262
2164 6929 262
9386 1913 262
8220 1298 262
945 1779 182
6930 6068 262
6805 6198 244
2177 3606 217
3600 2572 217
7403 6078 262
1419 7769 262
6566 1817 262
401 3590 217
9217 1261 262
4693 7481 262
2452 7389 262
5712 5107 236
69 6103 238
1938 6021 238
23 7534 262
4090 5760 236
6749 4512 262
6081 7656 262
2317 8531 262
4048 7891 262
591 6192 262
6850 5684 262
1700 9020 262
5091 9823 262
6004 9183 262
5464 6248 262
3312 323 217
6121 1885 238
6694 9051 257
3209 1068 217
8130 701 262
3542 1842 217
6353 1198 262
8796 7698 252
2257 6088 238
3380 3950 238
677 426 145
1769 6516 262
3477 9436 262
6539 5576 262
8193 5278 262
1836 7130 262
8806 2924 262
8840 2084 262
8121 2896 262
5714 8371 262
9729 8340 260
842 687 171
8481 5938 262
5450 1896 238
3043 7386 262
3872 3791 176
1920 7935 262
7717 5406 262
8859 254 262
3212 9317 262
6942 1676 262
6630 5362 262
2555 9931 262
1330 2092 180
9109 3049 262
371 428 134
504 8070 262
3609 5145 238
1586 911 182
6321 1310 262
821 5580 238
5864 6682 262
8933 1314 262
5707 5844 218
6363 1637 262
6714 7369 257
6444 1694 262
