==17587== Memcheck, a memory error detector
==17587== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==17587== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==17587== Command: RunCollatz.c++.app
==17587== 
1 1000 179
1001 2000 182
2001 3000 217
3001 4000 238
4001 5000 215
5001 6000 236
6001 7000 262
7001 8000 252
8001 9000 247
9001 10000 260
10001 11000 268
11001 12000 250
12001 13000 263
13001 14000 276
14001 15000 271
15001 16000 271
16001 17000 266
17001 18000 279
18001 19000 261
19001 20000 274
20001 21000 256
21001 22000 269
22001 23000 269
23001 24000 282
24001 25000 264
25001 26000 264
26001 27000 308
27001 28000 259
28001 29000 259
29001 30000 272
30001 31000 272
31001 32000 285
32001 33000 267
33001 34000 267
34001 35000 311
35001 36000 324
36001 37000 249
37001 38000 306
38001 39000 244
39001 40000 306
40001 41000 288
41001 42000 257
42001 43000 288
43001 44000 270
44001 45000 270
45001 46000 314
46001 47000 283
47001 48000 314
48001 49000 296
49001 50000 296
50001 51000 278
51001 52000 309
52001 53000 340
53001 54000 322
54001 55000 260
55001 56000 260
56001 57000 322
57001 58000 304
58001 59000 273
59001 60000 304
60001 61000 335
61001 62000 317
62001 63000 286
63001 64000 330
64001 65000 299
65001 66000 268
66001 67000 268
67001 68000 312
68001 69000 312
69001 70000 299
70001 71000 312
71001 72000 325
72001 73000 263
73001 74000 294
74001 75000 325
75001 76000 307
76001 77000 307
77001 78000 351
78001 79000 338
79001 80000 307
80001 81000 320
81001 82000 320
82001 83000 320
83001 84000 289
84001 85000 320
85001 86000 302
86001 87000 302
87001 88000 333
88001 89000 333
89001 90000 315
90001 91000 315
91001 92000 333
92001 93000 315
93001 94000 284
94001 95000 315
95001 96000 328
96001 97000 297
97001 98000 297
98001 99000 284
99001 100000 328
100001 101000 341
101001 102000 310
102001 103000 310
103001 104000 248
104001 105000 310
105001 106000 341
106001 107000 354
107001 108000 292
108001 109000 279
109001 110000 310
110001 111000 292
111001 112000 323
112001 113000 323
113001 114000 292
114001 115000 305
115001 116000 349
116001 117000 305
