==20339== Memcheck, a memory error detector
==20339== Copyright (C) 2002-2012, and GNU GPL'd, by Julian Seward et al.
==20339== Using Valgrind-3.9.0.SVN and LibVEX; rerun with -h for copyright info
==20339== Command: ./RunCollatz.c++.app
==20339== 
==20339== WARNING: Support on MacOS 10.8 is experimental and mostly broken.
==20339== WARNING: Expect incorrect results, assertions and crashes.
==20339== WARNING: In particular, Memcheck on 32-bit programs will fail to
==20339== WARNING: detect any errors associated with heap-allocated data.
==20339== 
--20339-- ./RunCollatz.c++.app:
--20339-- dSYM directory is missing; consider using --dsymutil=yes
64870 787043 509
908402 242047 525
237105 819286 509
995357 99361 525
650707 543438 509
490239 695815 509
833733 820658 419
194727 663546 509
401912 497003 449
252347 194302 443
320555 505910 449
931957 153958 525
579741 263690 470
490502 220782 449
194982 864953 525
60542 568177 470
644464 998058 525
699640 85913 509
733472 449676 509
330629 698050 509
431273 884306 525
946377 615247 525
700057 162052 509
351982 497796 449
887575 369047 525
578531 253995 470
719700 526296 509
81029 861534 525
277462 373875 441
66188 232244 443
30195 470341 449
642141 728040 504
697864 425596 509
815714 116001 509
345308 488085 449
905924 909543 445
166133 446131 449
297328 75714 443
875970 148236 525
482145 415408 444
223138 866567 525
823486 158676 509
133555 889435 525
214688 180671 373
874372 796606 525
350561 398708 436
51846 521115 470
836877 175043 509
569351 752884 509
379044 536692 470
817106 709837 468
547464 718298 509
999011 147126 525
20586 880403 525
945082 806859 525
715319 748292 424
17369 469150 449
447225 441279 356
396256 323473 441
320313 202540 443
963363 81095 525
46566 243786 443
104504 927884 525
432170 502019 444
759508 637651 504
525378 388818 470
616694 136931 470
570821 972575 525
576630 667046 509
445050 294761 449
980316 781721 525
639202 626364 416
259218 228582 443
4558 455168 449
30849 193759 383
902549 296303 525
333299 862310 525
817577 474075 509
777449 828496 468
700828 946612 525
875539 51442 525
604288 594776 403
959516 460943 525
149885 845276 525
700120 588880 509
381079 816919 509
879362 483956 525
627705 715968 504
337358 207110 443
830137 202982 509
507151 350160 449
572002 178774 470
597624 620729 447
974381 949155 458
758307 691885 504
756866 143418 509
614672 60105 470
857592 830193 525
862363 903174 445
798693 953967 525
69554 802116 509
765304 547152 509
228305 389108 443
981585 78511 525
888159 902517 401
497272 11236 449
160632 293347 443
871058 202408 525
847159 428289 525
178987 994699 525
944798 689094 525
385919 811750 509
706274 746924 424
696981 545937 509
269104 575220 470
89651 850661 525
728092 274016 509
304828 97682 443
77678 119808 354
790106 825102 468
795126 757678 468
502815 111093 449
759799 592149 509
549640 194549 470
506506 12287 449
258722 103308 443
893192 717648 525
897398 952740 507
506444 955607 525
536099 535518 302
30693 598898 470
463003 191602 449
142 665260 509
460689 429478 400
468171 533715 470
564595 840079 525
424614 369380 449
497634 709445 509
569970 475813 470
590397 849771 525
963612 545421 525
143055 650832 509
817885 757072 468
728709 784312 468
243028 986206 525
982700 238649 525
9560 318849 443
716895 856852 525
371631 777795 509
156342 286788 443
613622 634716 509
446249 951538 525
606727 730623 509
170728 455768 449
251884 555076 470
636244 671235 442
602046 88175 470
824867 678224 504
712536 596705 509
783055 881084 525
17049 723204 509
758532 643180 504
590079 166622 470
903958 969285 507
624134 637454 509
842929 603697 525
750357 981329 525
312294 328273 384
808619 57460 509
385217 391292 436
255548 29572 443
79280 140075 354
904320 283049 525
449936 450423 369
533945 142677 470
608608 173672 470
886643 407046 525
870026 220229 525
726032 409280 509
334059 412868 449
784245 302334 509
923965 631926 525
921364 276159 525
406723 474054 449
750004 995142 525
374336 46411 443
962027 925081 507
180144 886645 525
179593 232140 443
341809 222973 443
861513 833694 525
789494 67786 509
47079 514856 470
520124 701225 509
108675 580789 470
486305 935946 525
483544 56881 449
371845 442086 449
348816 766125 509
185742 175379 365
672292 780675 504
345427 92995 443
673970 962431 525
996854 780386 525
941721 711244 525
49928 634975 509
634434 609812 509
629324 610998 509
103168 801440 509
493856 863447 525
664089 348470 509
869268 86446 525
478008 225886 449
264012 342190 407
463487 405588 449
548260 236621 470
32236 468320 449
581407 754163 509
840387 634732 525
314192 683954 509
913339 521569 525
563484 451447 470
296397 586390 470
780295 109913 509
302420 53926 443
950920 285715 525
861243 969369 507
10211 522881 470
700466 224861 509
3426 803534 509
456182 798660 509
365525 869821 525
303203 474357 449
684645 805983 504
628423 255897 509
127154 512754 470
211837 677761 509
804035 106663 509
823363 223253 509
2080 373587 443
139185 10944 354
702466 421828 509
882803 194393 525
104054 319413 443
657074 309257 509
990561 23691 525
449603 79486 449
724767 483819 509
770412 432643 509
581176 784883 509
976401 276615 525
568895 803775 509
159584 978683 525
479205 668421 509
758294 974180 525
71607 538960 470
200536 446026 449
900818 49791 525
907887 999703 507
354265 786202 509
306637 702110 509
556944 527985 452
789747 632757 504
410317 833627 509
428946 410308 418
641969 872898 525
257063 176783 443
191550 999259 525
963844 85153 525
755803 199415 509
871828 577905 525
164794 899909 525
454563 996600 525
695565 336013 509
426402 119952 449
871862 194006 525
421674 44278 449
126744 595280 470
504940 362782 449
464134 119790 449
807953 603486 509
382501 902314 525
564855 919288 525
476942 801306 509
897147 174618 525
555089 128031 470
774702 119287 509
158970 597616 470
307519 611758 470
848149 246711 525
655142 31684 509
864324 595583 525
850574 189490 525
141709 938371 525
260074 393951 441
565287 618826 447
83869 166863 383
455594 713143 509
880770 155135 525
572530 89943 470
983499 616391 525
110611 248331 443
56872 412250 449
500654 639639 509
495788 209507 449
844360 277641 525
727064 686718 504
46350 236458 443
36733 587100 470
205057 830513 509
496640 53456 449
965842 770783 525
104894 695423 509
106203 182275 383
302452 49081 443
406694 351869 436
288032 591603 470
369153 893346 525
794090 66523 509
946172 484045 525
224223 190302 386
807603 299398 509
827926 657043 504
491547 389525 449
379575 570477 470
182290 840692 525
891251 115800 525
758158 487850 509
12315 46423 324
802136 757474 468
753347 360846 509
574811 82351 470
608683 688434 509
66548 194280 383
349749 297136 441
734296 941648 525
992352 717454 525
594417 123966 470
866713 907155 445
515477 780961 509
10174 292695 443
897210 539663 525
189425 125850 383
688439 666648 398
616778 352409 470
229733 820416 509
998044 633789 525
512040 821749 509
466626 35019 449
301226 680980 509
817507 394031 509
718404 236084 509
936580 266279 525
369107 158885 443
84248 572417 470
447674 998132 525
155387 796392 509
182139 725452 509
593649 755025 509
804525 892375 525
427353 628602 509
885410 124595 525
317060 142773 443
312992 972289 525
598032 495895 470
604815 940303 525
434194 547754 470
674022 194647 509
355440 197473 443
823088 265229 509
4564 820755 509
659680 628096 429
514117 399471 470
651049 886897 525
235751 257206 368
560372 21809 470
497874 254290 449
282334 141435 443
599467 886039 525
261174 818897 509
440150 790069 509
594857 615120 447
991166 847168 507
587341 996576 525
656677 183176 509
731583 864436 525
115979 652990 509
701680 371178 509
393267 294283 441
462336 846635 525
174765 993415 525
94504 282769 443
348538 610561 470
501819 580958 470
555249 936051 525
331394 941575 525
887715 443168 525
149249 227592 386
509750 568650 470
372234 573222 470
87599 972500 525
446173 773171 509
938209 390993 525
426693 269958 449
531674 102034 470
343981 571506 470
226227 340979 443
967395 234576 525
308335 568679 470
646248 398919 509
306368 153894 443
186901 354679 443
954068 433182 525
807931 265374 509
667732 60184 509
578138 526466 452
440634 30037 449
55844 637849 509
560481 139564 470
403973 940217 525
659549 894992 525
986316 746012 525
804319 48244 509
921554 339051 525
943859 280118 525
649345 841040 525
285029 108815 443
875889 872360 432
259307 212625 443
770149 827876 468
745665 76437 509
693610 432805 509
416388 770358 509
626751 377265 509
532905 26473 470
914372 980617 507
617084 120011 470
243778 588171 470
408799 566544 470
905404 336047 525
164363 707792 509
116263 221631 386
971266 459781 525
905112 951016 507
54059 113904 354
191474 972895 525
958928 323336 525
309148 999762 525
535927 583439 452
968255 920581 507
779204 56664 509
109170 912863 525
