==12815== Memcheck, a memory error detector
==12815== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==12815== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==12815== Command: RunCollatz.c++.app
==12815== 
515380 25103 470
919727 245951 525
110960 127921 349
29681 300508 443
935557 987030 507
869221 442103 525
363363 992954 525
572797 647809 509
265633 784141 509
118485 350380 443
428078 218722 449
335128 230153 443
538724 542683 408
76292 264351 443
18487 592937 470
681894 915569 525
695670 399613 509
962888 448244 525
640648 833141 504
829024 462225 509
923557 711253 525
5 225934 386
154603 737444 509
49583 934602 525
561730 164323 470
739557 344900 509
218587 719968 509
19455 696993 509
993823 412696 525
439811 849277 525
302862 282137 389
712200 283184 509
432353 920326 525
267702 579872 470
914200 871541 476
724927 496936 509
532113 537752 377
832259 134250 509
262233 497264 449
104615 2247 351
716748 30755 509
63021 537541 470
282211 868814 525
112158 999837 525
852165 628187 525
62618 39641 340
405937 220786 443
246015 35949 443
342839 182472 443
403214 111093 443
85437 380310 443
465962 885801 525
863544 501781 525
356512 558281 470
634189 270423 509
282922 762762 509
50936 806950 509
742230 278359 509
2355 608812 470
875506 817911 525
453720 855061 525
426084 493786 444
602246 35004 470
845340 87778 525
626296 423446 470
95949 998288 525
606966 213649 470
228016 194732 386
515643 213953 470
21354 849267 525
122782 80905 354
191332 904911 525
925802 492571 525
964329 90123 525
165697 559950 470
213929 376662 443
45120 628076 509
237744 835932 509
528393 308925 470
425033 351618 449
644317 843410 525
127002 182156 383
888778 687322 525
994614 766599 525
417950 933088 525
703417 362184 509
757008 886294 525
227355 570597 470
577944 24238 470
616789 998968 525
295613 587017 470
30718 929747 525
174864 3910 383
32847 177781 383
308471 509565 449
857880 640882 525
839277 309497 525
753242 567671 509
164633 143454 383
804049 308007 509
332888 988987 525
715557 320938 509
270993 223852 443
36643 613775 470
55587 930975 525
598945 44132 470
989828 663757 525
741347 84971 509
787398 713720 468
361377 871691 525
892945 479131 525
23418 392277 443
10011 939547 525
164725 332749 443
979771 635574 525
412227 468565 444
674993 416688 509
938151 788215 525
943923 996335 458
960734 972981 458
881328 173076 525
300738 956997 525
489503 694606 509
296967 335740 384
17765 561436 470
473157 267388 449
278937 787065 509
360339 114637 443
208662 331977 443
753236 156793 509
644347 629052 416
