==17055== Memcheck, a memory error detector
==17055== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==17055== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==17055== Command: trey-RunCollatz.c++.app
==17055== 
1418 2194 180
2661 5856 238
6683 8693 257
3011 2619 217
2046 7695 262
2182 6452 262
1117 5450 238
5584 9376 262
2395 4581 238
1054 8091 262
5394 8082 262
7024 3936 262
4553 605 238
9522 8585 260
6938 8657 257
6715 9247 257
3100 4168 238
5194 3305 238
460 7814 262
9173 2499 262
5098 9481 262
2334 1075 183
951 3297 217
2200 593 182
5042 3757 215
8598 6533 257
3621 7667 262
1001 8266 262
6860 3842 262
4408 4464 184
9094 8813 247
9730 642 262
7513 2148 262
2653 4121 238
4683 9409 262
4399 4446 184
9283 4284 262
8913 4035 262
5083 3935 215
3595 4665 238
305 3261 217
4911 327 238
8262 4410 262
5958 5882 187
5422 7649 262
373 4023 238
4920 8454 262
5855 78 238
1932 3586 217
1007 5385 238
2294 5825 238
1205 5121 238
7294 3001 262
2781 5769 238
5652 2059 238
9893 736 262
8364 2947 262
5211 4 238
3298 343 217
3721 1183 238
4240 3428 238
8841 4820 262
3389 5255 238
1346 6426 262
7266 3587 262
4616 1312 238
3405 4512 238
4140 6027 236
9295 8662 260
5348 1968 238
5583 7343 262
1425 2551 209
2746 2572 191
1957 5248 238
4132 633 238
4031 3708 238
8563 3524 262
9699 3244 262
2560 6470 262
7611 5017 262
5610 2525 238
2061 404 182
1922 7217 262
9670 7233 260
8603 7181 252
2532 3852 238
3316 6756 262
6743 5304 262
4125 5664 236
6932 8298 257
445 9024 262
681 8109 262
6817 8231 257
1506 1047 182
566 7486 262
5476 742 238
291 6176 262
4469 5113 210
4646 1665 238
8575 3591 262
9856 605 262
1208 960 182
49 9375 262
3137 4979 238
6618 5903 262
5818 9859 262
1562 5775 238
161 6620 262
5023 5290 192
4194 4373 202
9100 2898 262
1951 3643 217
8417 8346 234
6350 3998 262
2890 5758 238
843 3459 217
9691 2872 262
8167 6430 257
9470 3700 262
9656 202 262
6587 5998 262
5280 7507 262
4313 8100 262
2802 4027 238
3725 1896 238
4278 5299 215
9405 65 262
9501 7014 260
5927 5991 187
8919 6383 257
6588 4256 262
3058 9922 262
9914 8056 260
1571 4782 238
9994 7467 260
2624 6581 262
3936 9064 262
2547 6602 262
3390 3104 199
6416 5144 262
7410 9193 252
2554 5861 238
755 5180 238
7813 7990 252
5139 6853 262
5934 9515 262
908 7971 262
8295 4511 262
3175 1124 217
4905 2201 238
9501 9966 242
3655 3555 194
5908 2498 238
7486 3693 262
4212 3229 238
2440 4775 238
6436 9283 260
4312 4589 215
1444 1831 180
8060 649 262
4799 9578 262
2023 8221 262
5361 5459 161
8514 3424 262
1145 1187 182
3438 9322 262
2571 6851 262
174 3739 238
3390 4356 238
7191 2428 262
8286 4189 262
4579 192 238
1453 4722 238
2035 5543 238
2272 2068 183
9673 1606 262
2632 6351 262
3511 7071 262
5415 7201 262
9451 6249 260
