==25427== Memcheck, a memory error detector
==25427== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==25427== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==25427== Command: RunCollatz.c++.app
==25427== 
1164 8217 262
6134 2983 238
9415 3484 262
5040 8934 262
9746 6096 262
4756 6050 236
3589 9283 262
7109 6972 195
3517 8026 262
6794 6444 244
7139 2063 262
6973 848 262
2544 5741 238
506 5216 238
5240 3186 238
3217 6403 262
2985 933 217
968 2401 183
5999 6008 187
2917 5745 238
3686 9254 262
3377 7274 262
8537 486 262
5829 2054 238
95 4205 238
80 7233 262
6267 7053 257
8080 8811 234
4376 169 238
5609 1199 238
4936 8825 262
7601 7920 221
1340 152 182
1903 7338 262
7741 6402 257
4665 1427 238
5656 8041 262
283 5776 238
110 7693 262
9411 204 262
1898 9491 262
7436 8165 252
8126 7099 252
8558 4084 262
7267 4167 262
5282 3785 215
4574 4466 184
3287 5913 238
4617 5190 210
3252 3940 238
3174 7916 262
6948 8829 252
7540 7230 239
6187 7649 257
6506 5599 262
7852 9985 260
6672 6870 182
8150 4798 262
3969 8290 262
8881 2818 262
2457 5746 238
6602 7030 257
212 9889 262
4526 6410 262
6661 9359 260
350 9834 262
8857 7297 252
246 6397 262
6109 6433 262
5628 4197 236
3614 3480 194
4183 286 238
1933 3915 238
6665 5901 262
2206 7128 262
8719 6244 257
2874 6903 262
4857 4667 197
6792 965 262
1077 3453 217
324 3008 217
4869 9180 262
305 5115 238
7160 7996 252
3130 2788 217
2193 6743 262
7850 7957 190
8610 9782 260
1873 6857 262
7265 5660 262
3985 7566 262
3486 8441 262
4470 8342 262
3108 2844 217
9306 4185 262
7879 1212 262
7192 2748 262
393 9079 262
9444 9134 260
8657 4156 262
3504 2432 217
2481 2936 217
390 1091 179
4300 2262 238
9529 1566 262
9503 3515 262
714 2989 217
3538 6765 262
1332 6645 262
9609 2220 262
2412 7488 262
3432 1187 217
1818 5406 238
1848 2845 209
6122 505 238
7000 9625 260
2936 9481 262
4144 3325 238
2154 8443 262
7168 1684 262
1591 8253 262
6780 2305 262
1243 318 182
652 4156 238
6962 261 262
6375 957 262
9330 1389 262
2143 2731 209
8376 3990 262
5575 4498 236
6076 4157 236
5706 9011 262
3638 9849 262
3919 7374 262
9874 1087 262
9057 1466 262
9340 7419 260
5352 2165 238
7736 6003 262
6320 6280 200
7846 4277 262
7236 7176 164
7248 961 262
9906 5624 262
6532 7063 257
123 2608 209
1221 7410 262
1620 6440 262
7259 5538 262
3814 7133 262
8206 4453 262
181 9128 262
1872 7114 262
1293 9607 262
4700 9194 262
7470 2546 262
3472 4706 238
1304 720 182
7249 2793 262
7925 3781 262
9855 9629 211
7971 2658 262
7039 9590 260
9098 5880 262
6710 2912 262
3014 6498 262
7365 4776 262
5627 9236 262
3473 8501 262
427 8172 262
7696 7896 221
718 2750 209
4184 2021 238
3469 3015 199
4813 2976 238
6796 6251 244
2606 4767 238
8908 9644 260
5939 8006 262
5525 4231 215
2501 121 209
729 1448 182
6478 6355 200
2266 9950 262
4857 2692 238
8122 4135 262
2170 422 182
6884 7936 257
2443 1935 183
951 8837 262
4910 7746 262
6670 7515 257
4095 5579 236
8742 1616 262
5167 5849 236
5846 7667 262
7551 6575 257
697 5611 238
4512 2963 238
5562 951 238
7236 5266 262
5085 9406 262
5688 1969 238
7342 9712 260
3903 9874 262
132 396 144
9203 6802 257
7910 3298 262
3963 8234 262
6496 712 262
5665 2342 238
8379 4798 262
499 658 145
410 6593 262
3620 7553 262
7543 2439 262
4401 4211 215
3427 89 217
6179 2351 262
1383 1665 180
2225 3097 217
2060 1428 180
1481 1552 154
6308 7025 257
1369 2804 209
7736 7033 239
6727 7697 257
1832 7226 262
8355 3823 262
5401 3557 238
1376 4526 238
5995 5776 218
8736 9421 260
7447 6498 257
3354 412 217
8162 5579 262
5090 1804 238
7006 6570 257
4937 3314 238
5177 6305 262
6117 2914 238
4921 2845 238
611 6752 262
1653 8965 262
2157 8635 262
4105 5114 215
3161 1682 217
890 1898 182
1104 9918 262
8395 6039 262
1913 8139 262
1618 7002 262
1525 8624 262
5155 6461 262
3520 332 217
2767 9637 262
4827 7687 262
4064 5438 215
6021 7298 262
5985 9759 262
5933 90 238
4873 9093 262
1772 5762 238
2573 4457 238
7263 2550 262
496 9175 262
689 3696 217
7759 3795 262
2320 4496 238
257 5839 238
4828 4605 197
7058 1237 262
3874 2704 238
6674 1477 262
2 4242 238
1236 7516 262
5913 6108 187
6610 7684 257
3452 9182 262
3723 2297 238
1733 5801 238
3054 4003 238
9496 814 262
9380 3398 262
6891 1219 262
819 3301 217
7405 9459 260
4538 1279 238
2163 1212 180
4337 3747 202
7035 7154 195
1263 2949 217
4844 9454 262
2215 9877 262
220 7520 262
2175 3534 217
3321 6810 262
9118 4399 262
7623 8498 252
9378 6097 262
9716 1779 262
9397 7121 260
1238 3935 238
9981 3401 262
6729 5900 262
8729 3764 262
3054 9991 262
6712 7897 257
9446 8927 260
9357 9665 198
6447 1532 262
3199 1350 217
8341 2317 262
7330 7547 239
2398 6708 262
3644 3696 207
8486 3041 262
2400 1307 183
8558 3963 262
6289 5287 262
9863 5018 262
9050 2917 262
5009 5763 236
2397 6037 238
6272 1754 262
7284 2719 262
4867 483 238
4068 4790 215
4382 1398 238
3919 8361 262
9687 7562 260
2057 9755 262
2186 4456 238
1062 744 179
8419 7350 252
6030 9864 262
2368 6662 262
4363 8959 262
2425 6759 262
4996 8696 262
95 2281 183
2997 6543 262
4345 8646 262
1334 309 182
1626 5252 238
8669 1313 262
4397 2309 238
2651 8164 262
8346 5294 262
8907 6765 257
4227 6519 262
6629 8176 257
3181 993 217
7135 7188 195
9333 3714 262
7466 1011 262
7576 2046 262
7553 1921 262
692 469 145
3812 2318 238
5721 4063 236
5212 1700 238
6371 9444 260
9863 4718 262
4739 353 238
3065 8965 262
8453 1277 262
8723 3216 262
3851 5859 236
404 3184 217
1155 9452 262
5776 8730 262
1498 3330 217
651 3771 238
3798 6044 236
6088 1101 238
108 2883 209
4382 6478 262
2327 4245 238
2778 8647 262
6179 5843 262
9194 4632 262
7119 7918 239
7848 970 262
5359 9833 262
5735 6513 262
868 1512 182
5243 2365 238
6423 7475 257
6136 1803 238
3520 3806 238
4486 5209 210
8270 8867 234
1687 598 182
4695 6047 236
827 874 179
1890 22 182
7088 591 262
9521 4936 262
3142 4880 238
6351 8876 257
1393 7219 262
1970 6635 262
1166 8392 262
5692 7301 262
1778 794 182
2690 6263 262
6002 960 238
5130 7689 262
3139 1407 217
5318 3966 215
2281 7207 262
5569 9368 262
9379 5090 262
5886 2521 238
1552 3819 238
2979 2944 142
1038 4949 238
1161 2204 182
4923 6852 262
1087 6700 262
7646 3776 262
4545 3648 238
6318 1258 262
2919 9456 262
2664 8236 262
5004 6526 262
7025 2155 262
5894 7986 262
8826 3362 262
507 378 142
7181 5068 262
3321 9800 262
1599 6063 238
2004 8103 262
4498 4673 184
6386 2144 262
31 931 179
7373 6348 257
2188 1875 175
7387 6434 257
1693 3973 238
2960 301 217
7710 437 262
8286 6536 257
3798 376 238
6914 2561 262
5443 1817 238
2362 8623 262
9462 5947 262
6726 3960 262
2202 3112 217
7685 2233 262
5625 5058 236
8580 9394 260
8514 7549 252
5828 208 238
1523 8788 262
508 815 171
9224 8793 247
7350 4604 262
9168 5846 262
7165 6193 257
9245 1109 262
6398 8707 257
8637 3125 262
4249 840 238
7818 1934 262
3072 5025 238
8573 3234 262
4420 7088 262
2366 248 183
7295 5470 262
9035 9384 260
6284 9841 260
8177 3634 262
4446 8928 262
1063 3193 217
6703 308 262
4301 3102 238
597 4520 238
7808 4845 262
5359 7208 262
8360 13 262
2234 6933 262
4829 6653 262
4021 7194 262
6900 2898 262
2664 7518 262
2282 8947 262
7359 2042 262
4163 3387 238
2552 5225 238
6579 837 262
7114 2462 262
5520 9292 262
6982 3328 262
4137 3923 189
537 4079 238
5518 2770 238
1013 347 179
1005 6615 262
7540 9486 260
9513 204 262
7004 3377 262
733 5946 238
7000 4895 262
9332 9551 198
1703 7494 262
389 8816 262
9955 7490 260
8109 8519 234
819 3828 238
4025 2937 238
7907 9542 260
7288 502 262
9888 8292 260
7116 7428 239
7778 6629 257
9213 6365 257
1589 1528 167
2311 8588 262
6422 3225 262
9722 9706 167
2301 1693 183
8523 3839 262
9182 8214 247
2358 1 183
2042 6382 262
2937 1531 217
5924 1807 238
2032 7394 262
99 9148 262
6404 7877 257
7359 5617 262
4242 8947 262
8726 8134 234
9118 6731 257
2941 8840 262
6437 6824 244
533 4960 238
663 9714 262
3174 3020 186
1298 6798 262
985 5816 238
8328 8490 234
7623 361 262
5885 7721 262
1091 2289 183
7180 8449 252
9488 3004 262
8979 8214 247
2720 8097 262
4945 5661 236
8519 1383 262
2485 9051 262
7924 4729 262
348 2681 209
7748 1645 262
1061 315 179
7461 9388 260
8805 5084 262
1331 4690 238
4387 2421 238
8560 1568 262
871 8048 262
4571 1432 238
7845 7291 239
9528 2790 262
4534 8047 262
5754 8600 262
8680 5261 262
3329 9027 262
7941 2659 262
673 9001 262
2974 8133 262
9971 3361 262
4799 1303 238
8050 9185 247
5305 6610 262
753 6175 262
6241 6906 244
9188 4086 262
5779 8716 262
8457 1895 262
8345 4212 262
2077 7025 262
9472 5405 262
7635 8995 252
9645 8307 260
9578 4201 262
8022 9549 260
7561 4403 262
852 7193 262
3588 7739 262
5386 5923 236
5496 1627 238
4411 4685 184
7294 1772 262
4983 5751 236
3666 3329 194
1545 5742 238
1936 1017 182
2729 1153 209
1594 3956 238
9459 1172 262
8157 9063 247
722 7300 262
5048 3155 238
6076 219 238
894 1462 182
6141 6390 262
4670 2134 238
1075 1964 182
3905 7639 262
9296 9152 260
968 842 179
6476 4486 262
3440 787 217
5638 5034 236
4742 6680 262
6205 4481 262
7325 8508 252
1782 2374 183
1664 9439 262
2592 4139 238
901 315 179
2111 7152 262
4030 4767 215
698 9516 262
2407 9993 262
8668 3374 262
2417 6726 262
9441 5857 262
7512 6662 257
891 2254 183
3342 8677 262
8317 2249 262
7186 1681 262
4622 432 238
1120 8795 262
6152 3602 238
692 8263 262
754 4721 238
3030 3033 142
4237 5436 215
4608 4487 184
393 7025 262
1213 1416 177
4464 8724 262
8077 5354 262
2561 1419 209
5613 878 238
5250 4381 210
2558 9871 262
4812 3677 238
250 965 179
8860 941 262
9227 9613 260
5662 3839 236
4228 1481 238
858 8835 262
5968 1250 238
7442 8762 252
2665 1906 209
7487 2325 262
8841 48 262
5325 4455 210
2507 575 209
8835 5064 262
447 5230 238
323 2278 183
6194 9182 257
3218 7003 262
378 462 134
2424 4605 238
1943 3281 217
5022 9492 262
6112 2465 238
8254 360 262
4370 5741 236
2684 3212 217
7370 8008 252
9248 1459 262
8583 9665 260
8104 612 262
4895 8426 262
2889 2671 173
9190 7688 252
1256 1150 182
8150 3680 262
7336 1675 262
8542 2359 262
1167 4655 238
4823 9420 262
5014 775 238
6744 7697 257
5568 5696 205
7287 6398 257
7155 7452 239
6064 5259 236
8063 2541 262
5268 2534 238
5212 6040 236
223 8049 262
7190 9954 260
1729 4526 238
1629 272 182
8466 2795 262
6508 4871 262
3797 1522 238
5646 2123 238
801 1214 182
9401 9669 198
7612 8138 252
7122 5258 262
4979 6767 262
7798 247 262
9301 4592 262
7869 1106 262
2642 6641 262
1060 5952 238
2749 2688 160
7805 1216 262
7064 5895 262
6086 2443 238
7416 1732 262
6148 9798 262
4528 7131 262
9468 3722 262
5269 6590 262
562 248 144
3357 9941 262
2077 4240 238
4534 9945 262
5345 8757 262
8168 6404 257
6291 917 262
674 5679 238
2132 9319 262
1574 9800 262
3345 573 217
3114 1075 217
371 9223 262
8205 9838 260
2945 3474 199
8010 5088 262
3721 2950 238
5030 7379 262
7189 9563 260
8906 4117 262
9902 7074 260
2103 6193 262
9573 2777 262
3454 1705 217
3678 5028 238
3087 7022 262
5600 6201 262
8096 5970 262
5424 6301 262
7391 9951 260
1357 6983 262
5039 6660 262
9932 1651 262
4039 8704 262
2796 2946 217
2821 2698 173
1602 4923 238
474 1175 182
9281 3927 262
4462 2960 238
8954 7548 252
1564 6136 238
5331 1243 238
2107 756 182
9125 1080 262
2289 483 183
8062 8909 234
7142 9577 260
561 2763 209
8281 3356 262
7290 1102 262
7636 8892 252
6024 8109 262
1649 5306 238
3618 6110 238
9847 4155 262
5241 1411 238
291 572 144
2653 2397 209
2909 3361 217
5058 5197 179
3843 3121 238
5689 2567 238
2698 6249 262
6911 979 262
1187 4202 238
3662 8822 262
4676 1268 238
8513 6324 257
6573 3714 262
2435 6420 262
7868 9257 260
9413 8158 260
9828 3648 262
2138 2738 209
7008 8777 252
9516 2433 262
1898 5205 238
6581 6177 213
3036 3493 199
8737 5805 262
7694 2399 262
6209 2370 262
3667 6305 262
276 1822 182
19 2710 209
9824 9468 198
3549 820 217
7626 3378 262
4467 1346 238
7697 3058 262
124 8795 262
7072 3603 262
5583 3654 238
9780 8618 260
8728 100 262
6005 8004 262
4081 2215 238
374 9329 262
8519 649 262
2733 120 209
4941 2557 238
9587 8489 260
4958 8795 262
3449 1008 217
142 2728 209
4065 1847 238
1524 2719 209
5449 7106 262
7954 6811 257
7306 6682 257
8493 3312 262
4686 2574 238
7108 6641 257
3485 7209 262
8872 6217 257
7328 3813 262
357 8497 262
3884 5314 215
7292 8915 252
6321 9015 257
1643 1968 180
862 3166 217
4687 7893 262
272 2641 209
6286 9160 257
906 4779 238
4054 5591 236
8934 1162 262
3815 2419 238
8370 2687 262
8636 7280 252
8081 8992 247
5777 3547 238
5888 3069 238
2462 2210 183
3667 4105 238
4177 6110 236
8852 446 262
5585 707 238
4669 1872 238
9866 5574 262
8232 3920 262
2747 8749 262
6663 8143 257
2750 5033 238
830 2968 217
3895 8910 262
3542 9671 262
2458 9430 262
4322 6501 262
3222 7988 262
606 8980 262
5681 1041 238
9426 1266 262
1747 5677 238
4719 3195 238
2833 4534 238
7114 7161 195
3283 5359 238
5305 7614 262
1974 6134 238
583 5868 238
6627 4124 262
5539 9084 262
3554 1443 217
5585 6775 262
1014 7773 262
5756 6694 262
8813 6764 257
9541 2142 262
2441 4261 238
5336 6855 262
8794 4032 262
4016 3659 238
9390 9320 198
1273 1364 177
5455 3437 238
8813 2082 262
7561 5934 262
2748 2697 160
7376 9914 260
1055 8389 262
9269 8392 260
6665 9664 260
6738 6207 244
1806 9178 262
2050 8723 262
7615 844 262
2755 1631 209
6084 3727 236
952 7356 262
6672 7988 257
794 5485 238
1652 9936 262
1419 4399 238
2633 378 209
5895 5269 236
349 5165 238
3661 7014 262
4829 399 238
4803 8217 262
1159 6852 262
6940 8773 257
9277 1278 262
1987 5361 238
5004 4520 210
4299 3259 238
2508 6674 262
8743 5741 262
6610 1745 262
1722 826 182
3704 7616 262
6094 4052 236
2781 1338 209
2648 9192 262
1736 7450 262
7409 4477 262
5884 4349 236
3250 5161 238
5626 6818 262
2104 2213 170
1338 6403 262
5471 3845 215
3077 5796 238
1168 1270 177
9122 2889 262
3677 2826 217
506 9770 262
6878 4868 262
2690 9525 262
4060 4426 215
8558 3051 262
485 4442 238
7400 5316 262
1186 4608 238
2135 3289 217
8402 3472 262
9691 5455 262
8899 4351 262
1252 67 182
7202 1956 262
2956 879 217
4782 3461 238
2231 1660 183
9910 4921 262
2767 3971 238
929 2907 209
8603 1413 262
8931 7585 252
6728 117 262
2194 8862 262
4987 2178 238
2335 6261 262
7633 2816 262
612 467 142
2882 7813 262
2422 7419 262
274 7203 262
2462 2504 209
445 2373 183
7424 4794 262
7925 8352 252
9282 6528 260
9764 8213 260
4114 6493 262
9911 7889 260
6937 4899 262
67 854 171
==25427== 
==25427== HEAP SUMMARY:
==25427==     in use at exit: 122,880 bytes in 6 blocks
==25427==   total heap usage: 6 allocs, 0 frees, 122,880 bytes allocated
==25427== 
==25427== LEAK SUMMARY:
==25427==    definitely lost: 0 bytes in 0 blocks
==25427==    indirectly lost: 0 bytes in 0 blocks
==25427==      possibly lost: 0 bytes in 0 blocks
==25427==    still reachable: 122,880 bytes in 6 blocks
==25427==         suppressed: 0 bytes in 0 blocks
==25427== Rerun with --leak-check=full to see details of leaked memory
==25427== 
==25427== For counts of detected and suppressed errors, rerun with: -v
