==9049== Memcheck, a memory error detector
==9049== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==9049== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==9049== Command: RunCollatz.c++.app
==9049== 
777792 3728 470
13198 556511 470
486582 109264 449
678807 26237 470
926882 483302 525
699885 843521 525
458484 507985 444
671462 806541 468
573646 24730 470
351680 55945 443
681885 141596 470
928473 566101 525
550699 436006 470
185805 307450 443
680269 363655 470
492376 406598 449
744341 39664 470
531924 971528 525
46246 466782 449
611378 86572 470
169914 258985 443
964824 586743 525
83939 371501 443
494807 404647 449
376178 52311 443
771062 270805 470
224540 430441 449
131161 642286 470
182072 192396 360
584736 87546 470
184524 475712 449
978492 461329 525
577442 238542 470
3582 928112 525
679484 989405 525
916547 3660 525
233408 299162 407
545965 352580 470
967126 159719 525
324940 113383 443
712039 485287 470
593520 441289 470
951688 76630 525
171500 558627 470
800170 6560 470
62264 112653 354
83635 644938 470
491427 724696 470
724290 204973 470
531105 746758 452
803542 38779 470
237926 694125 470
397349 871637 525
809013 923469 525
610574 683369 447
335161 239196 407
691972 954737 525
813479 561259 468
906546 786543 525
132557 131296 331
429637 10353 449
676057 471654 470
76020 605138 470
729507 259037 470
853445 741666 525
276775 925249 525
175940 822906 470
495129 644471 470
688780 146013 470
42615 716140 470
906410 367443 525
503898 917366 525
719062 251800 470
703208 215679 470
732504 997895 525
527497 459853 470
41747 182243 383
388323 896944 525
818741 900677 525
674477 721109 442
992883 125845 525
381359 341468 441
729992 108222 470
710190 621375 442
687616 103707 470
411876 810701 470
776873 808932 468
229208 23730 386
763670 175032 470
725927 12118 470
996016 595065 525
129888 833150 470
421545 711107 470
342041 967783 525
453965 712346 470
598909 937012 525
517117 71228 470
655838 342192 470
346737 760929 470
5122 885198 525
57573 631675 470
440245 849772 525
530492 43637 470
196050 457772 449
379684 94992 443
820096 511321 470
824046 943766 525
702698 911612 525
435911 696108 470
830569 731535 468
137322 142716 375
380200 716395 470
953211 377438 525
828925 895747 525
208088 631728 470
692191 404979 470
663790 646339 429
963627 77212 525
759085 837191 468
701156 23732 470
457307 306080 449
522517 964028 525
513476 606007 452
304592 385845 441
492294 487799 382
860078 391344 525
761775 30602 470
422865 996349 525
976014 338760 525
58684 62236 335
540273 341732 470
286558 770425 470
310710 442055 449
572067 521857 452
96331 103475 341
927551 385853 525
716231 675783 442
440593 626828 470
751788 286455 470
350112 58873 443
829325 570443 468
179264 664615 470
882568 58285 525
707044 788035 468
443795 380839 449
292150 539802 470
40887 632447 470
784180 357479 470
813193 906801 525
519268 674807 452
519413 839659 525
462548 54754 449
104189 993504 525
352402 22176 443
723203 608969 447
907115 264009 525
736435 748056 424
927993 908522 476
847803 160699 525
470657 850278 525
813467 795666 468
566442 529890 452
863966 597041 525
692901 565350 447
578522 173098 470
418929 635932 470
387250 843181 525
873357 917315 476
877318 459295 525
996358 429569 525
166203 802076 470
272549 78258 443
664619 210244 470
185612 668274 470
975485 289264 525
372062 215703 443
61497 264543 443
742280 750179 393
184505 494729 449
500989 335057 449
404437 341800 441
132654 882494 525
338857 552116 470
454641 104585 449
72409 395337 443
352885 949270 525
561731 652362 447
887894 435463 525
360607 141539 443
251832 412248 449
698703 461377 470
15219 175957 383
53424 850435 525
79582 339325 443
730060 913082 525
136298 257516 443
215945 821032 470
869100 76774 525
774830 991649 525
195131 440874 449
486423 719097 470
416654 453049 418
93862 21445 351
638956 811457 468
558405 777974 468
216965 822994 470
143125 808084 470
799441 558632 468
413494 448685 418
789132 413571 470
332104 579692 470
137356 18218 354
615258 498304 470
480353 769898 470
897288 941746 476
309161 585422 470
51477 549577 470
584391 765172 447
