==867== Memcheck, a memory error detector
==867== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==867== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==867== Command: RunCollatz.c++.app
==867== 
212711 336903 443
214871 844819 525
627241 714259 442
577878 97338 470
904869 999254 476
240882 741783 470
960296 547151 525
480504 448146 444
672715 869962 525
830842 788537 468
860468 980621 476
614624 799666 468
89845 627830 470
14179 979013 525
330820 370686 441
905877 967735 476
49095 834546 470
968694 953067 414
619992 326836 470
844490 313108 525
781917 196098 470
41602 350809 443
291688 525512 470
686429 961675 525
22498 644996 470
962694 135386 525
115685 699969 470
203024 732835 470
763712 154938 470
323136 618022 470
496745 794884 470
323025 156394 443
625473 677567 429
731221 865483 525
573026 109983 470
494357 220387 449
163966 213406 373
927515 356813 525
379062 467777 449
590605 149546 470
261875 579864 470
713089 570359 447
328993 17579 443
973956 762922 525
656749 688806 429
758613 394541 470
463411 538642 470
887849 170519 525
487618 547164 470
9228 590005 470
697627 173055 470
259540 92130 443
458349 316970 449
415335 795408 470
680142 272775 470
678098 680329 380
991721 117288 525
823741 64726 470
832766 493039 470
569813 93018 470
852132 216876 525
980696 749523 525
763771 906315 525
379969 289608 441
154975 301188 443
92980 573754 470
658573 966817 525
93774 568735 470
320469 403683 441
457547 696722 470
283906 940681 525
508268 865840 525
955547 239326 525
694366 285839 470
261766 160091 443
7490 322192 443
138557 850588 525
472792 107598 449
334864 934293 525
966114 241577 525
389547 358980 436
782206 570428 468
798972 553750 468
929672 488678 525
797400 451745 470
1891 405362 443
88968 439154 449
1667 140845 354
772636 313587 470
488233 666610 470
826139 664224 468
155114 442135 449
67548 227716 386
810781 248257 470
69265 66509 312
476243 995607 525
30853 822944 470
599277 950326 525
619272 541585 452
352930 659434 470
863955 656209 525
103168 83325 341
250868 975090 525
885104 620112 525
230481 669094 470
508059 294707 449
500662 335573 449
793235 186163 470
753089 232756 470
649143 919269 525
851419 233569 525
862076 503539 525
836478 321109 470
286462 422963 449
941825 206606 525
280274 305836 389
424842 782591 470
810953 955379 525
366136 556602 470
946189 712291 525
708851 634987 442
395791 336655 441
953248 118357 525
895062 703748 525
96213 249400 443
249605 181344 443
560563 145685 470
134524 599 354
742493 297970 470
526535 486120 470
962801 375658 525
719767 233018 470
755051 395896 470
904985 631152 525
421065 524044 470
647963 549270 447
836461 205974 470
663792 250133 470
20587 928684 525
994929 350973 525
296783 376488 441
466862 7202 449
408303 302790 441
27360 183790 383
97337 795713 470
730880 242825 470
672602 464128 470
509431 426405 444
258427 720274 470
865385 927986 476
672557 450699 470
161471 549736 470
501332 219672 449
127235 367069 443
232975 846503 525
301280 380804 441
584602 288863 470
776284 969285 525
814311 245056 470
240168 193838 443
321061 433089 449
304214 437656 449
253279 639771 470
769667 921621 525
864214 282185 525
648665 586222 447
52561 963216 525
198013 620446 470
114396 893814 525
17244 568454 470
247879 390253 441
633770 836640 468
621693 142134 470
108621 720925 470
677616 172516 470
596988 573110 434
323174 193572 443
483799 237611 449
183070 584288 470
735887 383863 470
183281 134148 383
855326 926523 476
117835 305578 443
644053 982537 525
493144 180469 449
2884 771846 470
755094 54824 470
176724 270505 443
956426 493463 525
420718 360889 449
157473 410309 449
131562 744981 470
318866 362754 441
464519 245983 449
275986 371437 441
799539 239424 470
333479 922934 525
692899 411807 470
34695 485259 449
517556 897782 525
968855 490407 525
140430 880 354
16723 53814 340
78516 316423 443
306905 941479 525
92559 776568 470
934758 36424 525
448785 928784 525
825973 503137 470
87973 596857 470
891199 303296 525
485007 754710 470
727363 986599 525
745123 327312 470
471976 153701 449
871282 778513 525
90926 707253 470
975632 85460 525
93689 100711 341
130057 64735 354
391452 897303 525
520427 249270 470
448552 255106 449
913379 551781 525
923441 582443 525
824466 364284 470
893719 171711 525
433372 486718 444
851973 477996 525
484145 714711 470
971408 217765 525
311118 856451 525
179648 839714 525
442879 574560 470
378558 9634 443
135570 171762 383
322619 727080 470
962853 675965 525
691188 319017 470
413255 157731 449
886332 104305 525
380098 750718 470
393072 935638 525
774964 288841 470
102783 294601 443
59192 787209 470
