==32343== Memcheck, a memory error detector
==32343== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==32343== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==32343== Command: RunCollatz.c++.app
==32343== 
616405 385598 470
925668 988939 476
625696 152159 470
181348 882862 525
553047 877169 525
258770 947333 525
528549 35303 470
692364 749966 424
662070 147303 470
590353 495516 470
152962 218063 386
998224 319667 525
553908 530658 452
506381 385104 449
636395 618247 416
682619 312302 470
571917 571808 253
2547 927593 525
994150 248064 525
701133 987377 525
822798 566119 468
750203 751984 362
559411 538229 452
279544 656053 470
32691 207834 383
55244 648424 470
592822 262317 470
524581 33842 470
771834 238217 470
34467 227026 386
821925 8816 470
287951 973817 525
546067 360095 470
409814 358215 436
101077 403124 443
56773 418669 449
210538 562088 470
596043 79888 470
319473 650009 470
227389 535218 470
456245 189821 449
248290 234585 368
930728 794104 525
598829 280691 470
520798 294877 470
991901 330345 525
112575 273635 443
399480 955365 525
164946 761207 470
770484 499271 470
57582 230374 386
424054 972893 525
639367 302718 470
101150 155695 375
980319 499300 525
630855 332198 470
470454 294550 449
229866 825953 470
276501 273784 358
251423 717846 470
321862 541153 470
791733 62752 470
479950 90690 449
33647 152544 375
951568 293003 525
966505 879282 476
614091 325679 470
759805 701094 424
399781 555483 470
645641 135017 470
850974 598814 525
543722 622168 452
693387 822422 468
229862 655198 470
119980 869859 525
691388 834110 468
930130 620439 525
657495 896992 525
245948 917520 525
157937 70172 383
448148 601830 470
54832 467612 449
144714 374674 443
761838 538497 452
489947 961247 525
14971 935249 525
223065 439480 449
840593 663143 525
239639 979439 525
549677 64613 470
91182 269141 443
562761 840336 525
728762 887582 525
816123 651812 468
650812 24696 470
819383 189996 470
220526 886087 525
191368 324521 443
481290 28034 449
283671 384668 441
369689 565440 470
88245 235070 443
456162 971177 525
562836 783561 468
278179 674210 470
842675 75063 525
439374 303142 449
657574 681226 398
147130 103691 375
125139 332429 443
93583 603859 470
378289 155151 443
524353 498870 470
212555 654705 470
135858 933772 525
28837 291054 443
966977 560957 525
269068 455554 449
894069 766435 525
784716 18242 470
708034 49182 470
136429 892725 525
116132 858858 525
834951 609028 468
801733 591037 468
82059 299965 443
74958 71216 325
272216 87467 443
174607 473284 449
882192 535748 525
882278 744460 525
241617 251903 350
795235 662182 468
687283 991174 525
883480 372216 525
887249 353488 525
974106 76886 525
797232 338272 470
923895 142914 525
874690 333528 525
618390 399528 470
830333 546383 468
84774 497118 449
858322 754164 525
136615 961632 525
207331 983319 525
247981 141157 443
641645 412790 470
738087 238111 470
142924 706259 470
202580 552575 470
339516 109298 443
76188 449056 449
974744 818338 525
587843 292929 470
305368 214930 443
413403 843082 525
625389 999370 525
388906 596752 470
335656 443971 449
240917 197307 443
992655 65007 525
634756 196529 470
908948 437919 525
404827 386269 436
370301 194356 443
303342 81115 443
43605 587018 470
734145 334793 470
847060 413398 525
749023 214830 470
130881 908093 525
196434 398193 443
946210 285295 525
364567 438906 449
583622 849684 525
123566 666713 470
462317 773143 470
627459 635865 416
299255 357863 441
474971 288163 449
366421 182460 443
722485 402614 470
855044 546798 525
537960 903985 525
661000 757999 442
628659 303233 470
652711 453001 470
858475 340234 525
867057 547152 525
293042 71885 443
482702 939337 525
679318 983559 525
734991 65591 470
637928 808882 468
937572 281327 525
566754 289030 470
188803 944944 525
180303 713024 470
96375 118191 354
66104 476589 449
266755 908906 525
189438 982897 525
788076 996333 525
166549 314190 443
150395 530170 470
777797 629076 468
811625 535175 468
568007 588240 434
230918 477714 449
911737 973031 476
685498 550107 447
429912 727179 470
611556 909133 525
651712 82276 470
105553 172331 383
251626 601361 470
66763 259205 443
944933 421493 525
736854 167862 470
414785 544897 470
416516 456959 418
959221 164361 525
474783 112974 449
455432 412319 418
509606 206824 449
779258 53058 470
467505 391496 449
254343 57929 443
261381 262923 301
747846 195567 470
139676 897662 525
789990 728856 468
425782 133973 449
249428 547647 470
881835 985966 476
847360 360549 525
986365 989946 396
947393 701506 525
556537 595515 434
620128 821915 468
186734 34099 383
30589 21035 308
538766 108765 470
233652 584981 470
865447 224336 525
201407 908992 525
57741 439242 449
227410 817158 470
146385 404419 443
754645 184638 470
766212 882897 525
359340 4184 443
771071 867845 525
942154 776917 525
50984 660656 470
339975 771056 470
164248 865123 525
996496 101056 525
392224 912852 525
398502 636534 470
84000 394759 443
935724 459315 525
797794 800349 375
618272 781199 468
175220 16807 383
549977 131146 470
170019 160571 352
851343 338400 525
368884 356026 419
802858 25372 470
306505 717957 470
994411 844838 476
544284 824672 468
771474 940278 525
749612 451136 470
180687 60271 383
595722 233607 470
518117 440329 470
431726 400391 449
121200 774962 470
757503 37385 470
920926 476860 525
724619 403021 470
901068 98094 525
246928 342593 416
625078 942158 525
87632 527738 470
983982 11818 525
334012 183402 443
655438 550129 447
191868 389449 443
663059 85325 470
213093 730490 470
228923 388171 443
798379 344970 470
134120 671945 470
677652 160019 470
351015 12720 443
567492 717266 447
533995 863005 525
536894 875699 525
163024 948091 525
869483 206884 525
402692 987784 525
948893 266121 525
890753 936388 476
715626 969755 525
865576 647291 525
614474 634082 447
251304 851361 525
502253 414959 444
870720 737588 525
981838 453635 525
627260 519920 452
232913 41525 443
459867 457520 338
847735 74630 525
144577 420133 449
522698 189185 470
777049 804388 468
107934 881475 525
831182 899629 525
435181 387748 449
713122 970155 525
248029 196007 443
712744 801901 468
50443 940959 525
469299 472576 338
201822 564478 470
606853 206638 470
309531 711319 470
900362 29226 525
512311 155822 470
910445 757651 525
222082 38443 386
854490 505587 525
443254 185408 449
716267 207737 470
295265 838388 525
744147 626659 442
866241 52989 525
2021 435757 449
683438 808625 468
598895 985561 525
862104 519573 525
304663 463540 449
265472 384456 441
820613 368295 470
675395 940302 525
238532 541810 470
520438 996034 525
